source,target
Choose <emph>Format - Page</emph>,Последовательно выберите команды <emph>Формат - Страница</emph>
"<variable id=""spaltenber"">Choose <emph>Format - Sections - Options</emph> button </variable>","<variable id=""spaltenber"">Нажмите кнопку <emph>Формат - Разделы - Параметры</emph> </variable>"
"<variable id=""eingabe"">Choose <emph>Format - AutoFormat - While Typing</emph></variable>","<variable id=""eingabe"">Последовательно выберите команды <emph>Формат - Автоформат - При вводе</emph></variable>"
"<variable id=""autoformat1"">Choose <emph>Format - AutoFormat</emph></variable>","<variable id=""autoformat1"">Последовательно выберите команды <emph>Формат - Автоформат</emph></variable>"
"<variable id=""autoformat2"">Choose <emph>Format - AutoFormat - Apply</emph></variable>","<variable id=""autoformat2"">Последовательно выберите команды <emph>Формат - Автоформат - Применить</emph></variable>"
Choose <emph>Format - Picture</emph>,Последовательно выберите команды <emph>Формат - Рисунок</emph>.
"<image id=""img_id3149214"" src=""res/commandimagelist/sc_framedialog.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149214"">Icon</alt></image>","<image id=""img_id3149214"" src=""res/commandimagelist/sc_framedialog.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149214"">Значок</alt></image>"
Graphics Properties,Аграфикать обиект аҷыдақазшьа
Choose <emph>Format - Wrap</emph>,Последовательно выберите команды <emph>Формат - Обтекание</emph>
"<variable id=""kontureditor"">Choose <emph>Format - Wrap - Edit Contour</emph></variable>","<variable id=""kontureditor"">Последовательно выберите команды <emph>Формат - Обтекание - Правка контуров</emph></variable>"
Choose <emph>Edit - AutoText - AutoText (button) - Macro</emph>,Последовательно выберите команды <emph>Правка - Автотекст - Автотекст (кнопка) - Макрос</emph>
"<variable id=""tabauf"">Choose <emph>Table - Split Table</emph></variable>","<variable id=""tabauf"">Последовательно выберите команды <emph>Таблица - Разбить таблицу</emph></variable>"
