мшыбзиа, ҳаҭыр зқәу ахәаԥшцәа!	добрый день, уважаемые зрители!
иахьа ҳара ҳаигәырӷьоит	сегодня мы рады приветствовать
астудиа « аԥсны хабар » аҿы ҳахьиԥыло еицырдыруа ашәҟәыҩҩы анатоли ким.	в студии « апсны хабар » известного писателя анатолия кима.
сгәы иаанагоит, анатоли ким аиҳабыратә биԥарахь иаҵанакуа рыбжьара дызусҭоу аҳара аҭахым.	думаю, старшему поколению анатолия кима не нужно представлять.
ари еицырдыруа аурыс шәҟәыҩҩуп, иуҳәар ҟалоит, асовет шәҟәыҩҩуп,	это известный русский, можно сказать, советский писатель,
аха аҿар уи иӡбахә раҳәара аҭахуп,	но молодому поколению необходимо его представить,
избанзар анатоли ким ирҿиара аҿар имаҷны ирдыруеит.	потому что о творчестве анатолия кима мало кто знает из молодых.
сгәы иаанагоит, ҳаицәажәара ашьҭахь аӡәырҩы ирҿиара ашҟа аинтерес рызцәырҵуеит,	думаю, после нашего разговора многие заинтересуются его творчеством,
анатоли ким иҩымҭақәа ԥшааны, аԥхьара иалагоит.	найдут произведения анатолия кима и будут читать.
сара анатоли ким шәҟәыҩҩык иаҳасабала дыздыруеижьҭеи кырҵуеит,	я открыл для себя анатолия кима очень давно,
уи аԥсныҟа дшааз ансаҳа,	и когда я услышал о его приезде в абхазию,
иҿцәажәаразы агәазыҳәара соуит.	мне стало интересно с ним побеседовать.
ҳаицәажәара аинтерес аҵан.	наш разговор был содержательным и интересным.
уи иахьа ари астудиаҿы иацаҳҵап ҳәа сыҟоуп. .	думаю, мы его продолжим здесь, в студии.
сара ароман- лакә « белка » сеиҭаԥхьеит.	я перечитал роман- сказку « белка ».
уи ҿыц аартра сара сзы аинтерес аҵан.	мне было интересно заново открыть его для себя.
арҿиамҭа « белка » аҟны акырӡа интересу ахаҿсахьақәа маҷымкәа иагәылоуп.	в произведении « белка » много интересных образов.
ароман аҟны иҟоуп аԥсуа мотивқәагьы.	в романе есть и мотивы наши абхазские.
ҭыԥқәак рҿы шәара пицунда шәалацәажәоит, гагра аӡбахә шәҳәоит,	в нескольких местах вы говорите о пицунде, говорите о гагре,
усҟан қырҭтәыла аҳәынҭқарра иатәыз аԥсуа ԥшаҳәа аҳасабала.	как об абхазском тогда побережье грузии.
уи аамҭазы аԥсны қырҭтәыла иахәҭакны иҟан, автономтә республиканы.	тогда абхазия была частью грузии, автономной республикой.
пицунда шәара иаашәырԥшит иҵегьы ахаҿсахьақәа,	в пицунде была вами названа и еще несколько образов,
ҿырԥштәыс иаагозар пицундатәи аеш.	например, образ пицундской белки.
уаҟа сара сзы ихадоу ахаҿсахьа – амшынҳәа ауп.	главный там образ все же у меня – дельфин.
уигьы амшын еиқәа аԥшаҳәаҿы ицәырҵуеит,	он тоже появляется на черноморском побережье,
