 адокументкәеи, аҭаӡқәеи аҳатә ҭыԥқәеи рҿа анеира азин	доступ к документам, папкам и сетевым местам
 аиҭагара адгылоит алокалт фаил сиситемаҿ мацара.	перетаскивание поддерживается только на локальных файловых системах.
 апанель ахала ааартра аанкылара 	задержка автораскрытия панели
 арӷьарахьтәи агәҭантәи апанель	правая центрированная панель
 арӷьарахьтәи иӡысо апанель 	правая плавающая панель
 ари ацаԥха шьақәыргылазар, асекундақәа убарҭахоит.	если этот ключ установлен, отображаются секунды.
 асервер аҽамадара ауам. асервер ахьӡ ҭагалатәуп.	невозможно подключится к серверу. необходимо ввести имя сервера.
 аус аруратә адыргаҷа ҿыц аԥҵатәуп	создать новый значок запуска
 аус ацашьа узырбо аиндикатор аҿы атекс	текст на индикаторе хода процесса
 аусуратә еишәақәа рыхьӡқәа:	наименования рабочих мест:
 аутентификациаҿы аиԥҟьара ҟалеит. анбанқәа ҭагалазар ауп ииашоу арегистр аҟны.	 сбой аутентификации. буквы должны быть введены в правильном регистре.
 афонтә ҭыхымҭа аԥкаарақәа	подробности фонового изображения
 ахәҭа ԥшаатәуп акәалаԥ : ахь иацҵазарц	найти элемент для добавления в ящик:
 ашьақәырӷәӷәара иадҵаалатәуп акаҵкәыр арыцқьареи афаилқәа раԥыхреи 	запрашивать подтверждение очистки корзины или удаление файлов
 иалышәх аиҿкаара, аинформациа адыргаҷақәа рыҵаҟа цәырҵлартә еиԥш. 	выберите порядок, в котором информация будет возникать под именами значков.
 илшома ахархәаҩ динамикала арццакыга аҭагалара ҿыц иактиву аекран мениу ақәкраан	может ли пользователь динамически вводить новый ускоритель при наведении на активный элемент меню
 ишыҟоу еиԥшишьақәыргылоуп	установить по умолчанию
ааигәа ахархәара змаз архив аарттәуп	открыть недавно использовавшийся архив
ааигәа ахархәара змаз афаил аарттәуп	открыть недавно использованный файл
ааиӷәа ихархәаз аарттәуп	отрыть недавно использовавшиеся
аамҭалатәи афаил аартраан аилахәара ҟалеит	произошёл сбой при открытии временного файла
аамҭалатәи афаил аҟынтә аԥхьараан аилахәара ҟалет	произошёл сбой при чтении из временного файла
аамҭеи арыцхәи шьақәыргылатәуп	установить дату и время
аарта амуит, даҽа аԥшьык алхтәума?	открыть не удалось, выбрать другое приложение?
