location,source,location,source
projectLead.text,Ведущий разработчик,projectLead.text,Ведущий разработчик
copyright.text,Copyright (C) 2004–2007,copyright.text,Copyright (C) 2004–2007
thanks.text,Спасибо,thanks.text,Спасибо
location,source,location,source
jump,Перейти,jump,Перейти
press,Нажать,press,Нажать
check,Абираҟ ҳаргылап,check,Установить флажок
uncheck,Снять флажок,uncheck,Снять флажок
select,Алхра,select,Выбрать
open,Иаарттәуп,open,Открыть
close,Иарктәуп,close,Закрыть
switch,Переключиться,switch,Переключиться
click,Щёлкнуть,click,Щёлкнуть
collapse,Свернуть,collapse,Свернуть
expand,Развернуть,expand,Развернуть
activate,Актив азыура,activate,Активировать
cycle,Обходить по циклу,cycle,Обходить по циклу
location,source,location,source
malformedURI,"URL ҵабыргым, ҭагалашьа амам.",malformedURI,URL недействителен и не может быть загружен.
fileNotFound,Firefox не может найти файл %S.,fileNotFound,Firefox не может найти файл %S.
dnsNotFound,Firefox не может найти сервер %S.,dnsNotFound,Firefox не может найти сервер %S.
protocolNotFound,"Firefox не может определить как открыть данный адрес, так как протокол (%S) не связан ни с одним приложением.",protocolNotFound,"Firefox не может определить как открыть данный адрес, так как протокол (%S) не связан ни с одним приложением."
connectionFailure,Firefox не может установить соединение с сервером %S.,connectionFailure,Firefox не может установить соединение с сервером %S.
netInterrupt,Во время загрузки страницы соединение с %S было прервано.,netInterrupt,Во время загрузки страницы соединение с %S было прервано.
netTimeout,Время ожидания ответа от сервера %S истекло.,netTimeout,Время ожидания ответа от сервера %S истекло.
redirectLoop,"Firefox определил, что сервер перенаправляет запрос на этот адрес таким образом, что он никогда не завершится.",redirectLoop,"Firefox определил, что сервер перенаправляет запрос на этот адрес таким образом, что он никогда не завершится."
confirmRepostPrompt,"Чтобы отобразить эту страницу, %S должен отправить информацию, которая повторит любое ранее произведённое действие (например, запрос на поиск или онлайн-покупка).",confirmRepostPrompt,"Чтобы отобразить эту страницу, %S должен отправить информацию, которая повторит любое ранее произведённое действие (например, запрос на поиск или онлайн-покупка)."
resendButton.label,Ҿыц инаҳашьҭып,resendButton.label,Отправить заново
unknownSocketType,Firefox не знает как связаться с сервером.,unknownSocketType,Firefox не знает как связаться с сервером.
netReset,Во время загрузки страницы соединение с сервером было сброшено.,netReset,Во время загрузки страницы соединение с сервером было сброшено.
netOffline,Firefox находится в автономном режиме; в этом режиме работа с сайтами в Интернете невозможна.,netOffline,Firefox находится в автономном режиме; в этом режиме работа с сайтами в Интернете невозможна.
isprinting,Адокумент апринтер аҿгараан ма заантәи ақәыпшылараан аиҭакшьа амам.,isprinting,Во время печати или предварительного просмотра документ не может быть изменён.
