Иахәаԥштәуп...	Просмотреть...
Адҵа:	Команда:
Акомментариқәа:	Комментарий:
Адыргаҷа:	Значок:
Ахәҭа	Элемент
Ииагатәуп ҵаҟа	Переместить вниз
Ииагатәуп хыхь	Переместить вверх
Ахьыӡ	Имя
Ахадаратә	Имя:
Аарԥшра; Арбара	Показать
адиагарма	диаграмма
аҭаҩра	запись
ахьӡынҵа	список
Аиқәырхара	Сохранить
иԥкаауа зегь аарԥштәуп	Показать подробности
Идәықәҵатәуп	Отправить
Акоманда алахып	Команда
Аҭыԥ алхра	Адрес
Иацу апараметрқәа	Дополнительные параметры
Афаилқәа зегьы	Все файлы
Ахадаратә	Основные
Амодификатор ианақәыӷәӷәо асигнал аҭара	Подавать сигнал, когда модификатор нажат
Агәылԥҟара	Вырезать
Агәҭала	По центру
Алхра...	Выбрать...
Анапхгаратә елемант	Элементы управления
Афаилқәа рақәҭыхра	Копирование файлов
Егьи…	Другой
Ишыҟоу еиԥш	По умолчанию
Ахҳәааҟаҵара	Описание
Аусурҭатә еишәа	Рабочий стол
Ҩ-рыдк еицрықәыӷәӷәазар, ирцәатәуп	Отключать, если две клавиши нажаты одновременно
Аелектронтә пошьҭа	Электронная почта
Иагәылхтәуп	Извлечь
Ашрифт	Шрифт
аҟынтә.	Из:
Аҩнытә ҭаӡ	Домашняя папка
Адыргаҷақәа	Значки
Аекран арктәуп	Заблокировать экран
Асеанс хыркәшатәуп	Завершить сеанс
Аҭыҵра	Выход
Абжьаратә	Средний
Амодельқәа	Модели
Мап	Нет
Апараметрқәа	Параметры
Ааҭгылара	Пауза
Илымкаалоу аинформациа	Персональная информация
Аҽаԥшьырҭа:	Порт:
Аақәыԥшыга:	Образец:
Аҭыԥп:	Ориентация:
Атерминал аҟны ауыс арутәуп	Запустить в терминале
Афаил аиқәырхара	Сохранить файл
Амасштабркра	Масштабировать
Аекран	Экран
Аԥшаара	Найти
Ашәагаа:	Размер:
Абжьы...	Звук
Астиль:	Стиль:
Асистема	Система
Атема	Тема
Атемақәа	Темы
Аилыркаага: %s аарԥшраан агха ҟалеит	Произошла ошибка при отображении справки: %s
аҟны	В:
Ахкы	Тип
Атип:	Тип:
Ахархәаҩ ихьӡ:	Имя пользователя:
Амасштаб	Масштаб
Алшара ҷыдақәа	Специальные возможности
Иацҵатәуп...	Добавить...
Акопи ҟаҵара	Копировать
Иаҿыхтәуп	Выключить
Аиҭакра	Изменить
Афаил	Файл
Имазеиуп, Ирхьиоп	Готово
Ахьӡ:	Название:
Иаԥҵатәуп	Создать
Иаарттәуп	Открыть
Ажәамаӡа	Пароль:
Агәыларгылара	Вставить
Акьыԥхьра	Печать
Иаԥыхтәуп	Удалить
Еиҭашьақәыргылатәуп	Восстановить
Алхра	Выбрать
Ахы:	Заголовок:
асекундқәа	секунд
Адыргаҷа	Значок
Асахьа аҳәаа ахҵара	Граница изображения/метки
Ариашара	Выравнивание
Ацәахәақәа риагара	Перенос строк
Иаартлатәуп апрограммаҿ	Открывать в программе
Иалкаатәуп зегьы	Выделить всё
Аԥшь алхтәуп...	Выбрать приложение
Атекст	Текст
Ахҵара атекст	Текст метки
Ацҵара	Добавить
Аҟашьарбага	Атрибут
Иарктәуп	Закрыть
Аԥенџьыр арктәуп	Закрыть окно
Акомментари	Комментарий
Амш	День
Иҭацәуп	Пусто
Афаил ахьӡ	Имя файла
Агылара	Высота
Ирдутәуп	Увеличить
Арымарахь	Влево
Амза	Месяц
Афаилтә еилазаара	Переместить в корзину
Анеҩстәи	Следующее
Инормалу	Нормальный
Аҭаӡ аартра	Открыть папку
Аԥенџьер ҿыц аҿы иаарттәуп	Открыть в новом окне
Ирхәыҷтәуп	Уменьшить
Иԥсахтәуп	Заменить
Аԥхаинеуаз	Предыдущее
Аԥхьатәи алаԥшхгара	Предварительный просмотр
Акьыԥхь...	Печать...
Еиҭах	Повторить
Арӷьарахь	Вправо
Ишԥа еқәырхатәу	Сохранить как
Асахьа еқәхархап	Сохранение изображения
Ибжьажбтәуп	Пропустить
Аҭакыра	Поле
Аамҭа	Время
Архынҳәра	Отменить
Аҵакы	Значение
Аҭбаара	Ширина
Ашықәс	Год
Апргорамма иазкны	О программе
Ахәаԥшра	Просмотреть
Аҵакы	Содержание
Ариашара	Правка
 Аиасра	Переход
Аилыркаага	Справка
аҭагалара иаҿуп…	Изображение
Иаарттәуп...	Открыть...
Аҭагылазаашьа узырбо ацәаҳәа	Строка состояния
Амыругақәа рпанель 	Панель инструментов
Ахкы	Вид
Уажәтәи аԥштәы	Текущий цвет
Адокумент	Документ
Амаӡажәа ҭажәгал	Введите пароль
Аԥшаара:	Найти:
Адаҟьа аҭбаарала	По ширине страницы
Ашрифтқәа	Шрифты
Азеиԥш	Общие
Адокумент аарттәуп	Открыть документ
Адаҟьа	Страница
Аҷыдаҟазшьақәа	Свойства
Адаҟьақәа	Страницы
Амаӡажәа ахәҭоуп	Требуется пароль
Армарахь икәыргьежьтәуп	Повернуть влево
Арӷьарахь иқәыргьежьтәуп	Повернуть вправо
Аийъшага	Разделитель
Аганахьтәи апанель	Боковая панель
Ааи	Да
Иԥшаатәуп ...	Найти...
Алагамҭа	Начало
Ԥхьаҟа	Вперёд
Апрезентациа	Презентация
Шьҭахьла	Назад
Ирҿыцтәуп	Обновить
Ацҵара	Добавить   
Аиҵагыларҭа ацаҳҵап...	Добавить столбец...
Афганисҭан	Афганистан
Албаниа	Албания
Американтә Самоа	Американское Самоа
Ангилиа	Ангилья
Аиԥыларакәа	Встречи
Армениа	Армения
Ацхырааҩ	Помощник
вложенное сообщение	%d вложенное сообщение
Алахулацәа	Участники
Австралиа	Австралия
Австриа	Австрия
Атохыркәшара	Автозавершение
Ахархәара зоур зылшо аҭарглырҭақәа 	Доступные поля
Азербаиџьан	Азербайджан
Ихьчатәуп зегьы	Сохранить все
Бахреин	Бахрейн
Беларус	Беларусь
Белгиа	Бельгия
Аԥсыла	Жирный
Боливиа	Боливия
Босниеи Герцеговинеи	Босния и Герцеговина
Аладантә:	Снизу:
Бразилиа	Бразилия
Болгариа	Болгария
Аԥшхәтәы:	Цвет:
Аконтактқәа	Контакты
Амзар	Календарь
Камбоџьа	Камбоджа
