База данных	Адырқәа рбаза
Дата и время	Арыцхәи аамҭеи
Финансовые	Афинанстәқәа
Информация	Аинформациа
Логические	Алогикатәқәа
Математические	Аматематикатәқәа 
Массив	Амассив
Статистические	Астатистикатәқәа
Электронная таблица	Аелектронтә таблица
Текст	Атеқст
Подключаемый модуль	иаҿакхо амодуль
Вставить	Ибжьаргылатәуп
Удалить	Ианыхтәуп
Вырезать	Игәылԥҟатәуп
Перетаскивание	Аиагара
Переместить	Ииагатәуп
Копировать	Акопиа ахыхтәуп
Атрибуты	Атрибутқәа
Атрибуты/Линии	Атрибутқәа/Аҵәаӷәақәа
Ширина столбца	Аиҵагыла аҭбаара
Оптимальная ширина столбца	Аиҵагыла иоптималу аҭбаара
Высота строки	Ацәаҳәа аҳаракыра
Оптимальная высота строки	Ацәаҳәа иоптималу аҳаракыра
Заливка	Аҭарҭәара
Объединить	Еидҵатәуп
Разбить	Еихшатәуп
Автоформат	Автоформат
Заменить	Иԥсахтәуп
Ввод	Аҭагалара
Показать детали	Иаарԥштәуп адетальқәа
Скрыть детали	Иҵәахтәуп адетальқәа
Группировать	Агәыԥ
Разгруппировать	Аргәыԥра ықәгатәуп
Автоструктура	Автоструктура
Сортировка	Асортра
Фильтр	Афильтр
Изменить диапазон базы данных	Иԥсахтәуп адырқәа рбаза адиапазон
Импорт	Аимпорт
Обновить диапазон	Ирҿыцтәуп адиапазон
Список имён	Ахьӡқәа рыхьӡынҵа
Использовать сценарий	Ихархәатәуп асценари
Создать сценарий	Иаԥҵатәуп асценари
Изменить сценарий	Иԥсахтәуп асценари
Применить стиль ячейки	Ихархәатәуп абларҭа астиль
Изменить стиль ячейки	Иԥсахтәуп адаҟьа астиль
Применить стиль страницы	Ихархәатәуп адаҟьа астиль
Изменить стиль страницы	Иԥсахтәуп адаҟьа астиль
Зависимые ячейки	Ихыԥшу абларҭақәа
Показать ошибки	Иаарԥштәуп агхақәа
Убрать все стрелки	Иқәгатәуп ахыцқәа зегьы
Отметить неверные данные	Иазгәаҭатәуп ииашам адырқәа
Обновить стрелки	Ирҿыцтәуп ахыцқәа
Изменить диапазон данных	Иԥсахтәуп адырқәа рдиапазон
Исходный размер	Ахалагаратә шәагаа
По размеру ячейки	Абларҭа ашәагаа ала
Обновить связь	Ирҿыцтәуп азхьарԥш
Разорвать связь	Иқәгатәуп азхьарԥш
Вставить связь	бжьаргылатәуп агиперзхьарԥш
Вставить формулу массива	Ибжьаргылатәуп амассив аформула
Вставить комментарий	Ибжьаргылатәуп акомментари
Удалить комментарий	Ианыхтәуп акомментари
Показать комментарий	Иаарԥштәуп акомментари
Скрыть комментарий	Иҵәахтәуп акомментари
Показать все комментарии	Иаарԥштәуп акомментариқәа зегьы
Скрыть все комментарии	Иҵәахтәуп акомментариқәа зегьы
Изменить комментарий	Иԥсахтәуп акомментари
Уменьшить отступ	Ирмаҷтәуп ахьаҵ
Увеличить отступ	Ирдуутәуп ахьаҵ
Установить защиту листа	Иқәыргылатәуп абӷьыц ахьчага
Снять защиту листа	Иқәгатәуп абӷьыц ахьчага
Установить защиту документа	Иқәыргылатәуп адокумент ахьчага
Снять защиту документа	Иқәгатәуп адокумент ахьчага
Диапазон печати	Акьыԥхьра адиапазон
Удалить разрывы страниц	Ианыхтәуп адаҟьақәа реимҟьарақәа
Изменить масштаб	Иԥсахтәуп амасштаб
Перенести разрыв страницы	Ииагатәуп адаҟьа аимҟьара
Изменить имена диапазонов	Иԥсахтәуп адиапазонқәа рыхьӡқәа
Регистр	Арегистр
%PRODUCTNAME Calc	%PRODUCTNAME Calc
Удалить данные?	Ианыхтәума адырқәа?
Невозможно вставить строки	Иауам ацәаҳәақәа рҭаргылара
Нет операций для выполнения	Иҟаӡам инагӡатәу аоперациа
Ошибка импорта данных!	Адырқәа римпорт агха!
Группировать невозможно	Аргәыԥра ауам
Разгруппировать невозможно	Аргәыԥра ақәгара ауам
Невозможно объединить уже объединённые ячейки!	Иауам уаанӡа еидҵаз абларҭақәа ҽазнык реидҵара!
Подбор параметра завершён. Результат: 	Апараметр азалхра хыркәшоуп. Алҵшәа: 
Общий итог	Азеиԥш еихшьала
Результат	Алҵшәа
Проверка орфографии	Аорфографиа агәаҭара
Лист	Абӷьыц
- переместить в конец -	- ииагатәуп анҵәамҭахь -
Невозможно удалить диапазон данных.	Адырқәа рдиапазон аныхра ауам.
Итог	Аихшьала
Данные	Адырқәа
Выделено: $1, $2	Иалкаауп: $1, $2
Столбец	Аиҵагыла
Строка	Ацәаҳәа
Страница	Адаҟьа
Страница %1	Адаҟьа %1
Загрузить документ	Иҭагалатәуп адокумент
Сохранение документа	Адокумент аиқәырхара
Недопустимая ссылка на лист.	Абӷьыц ахь изымуа азхьарԥш.
Заливка строк...	Ацәҳәақәа рҭарҭәара...
Тезаурус	Атезаурус
Заполнить листы	Ихарҭәаатәуп абӷьыцқәа
Не выделен диапазон.	Адиапазон алкааӡам.
Такое имя уже существует.	Ари аҩыза ахьӡ ыҟоуп.
Сценарий	Асценари
Сумма	Аицҵалыҵ
Выделено диапазонов	Иалкаауп адиапазонқәа
Количество	Ахыԥхьаӡара
Количество2	Ахыԥхьаӡара2
Среднее значение	Ибжьаратәу аҵакы
Медиана	Амедиана
Максимум	Амаксимум
Минимум	Аминимум
Произведение	Ашьҭыхлыҵ
Дисперсия	Адисперсиа
Диаграмма в этой позиции не найдена.	Адиаграмма ари апозициаҿ иԥшаам.
(пусто)	(иҭацәуп)
Недопустимый диапазон печати	Акьыԥхьра зымуа адиапазон
Стиль страницы	Адаҟьа астиль
Верхний колонтитул	Хыхьтәи аколонтитул
Нижний ~колонтитул	Ҵаҟатәи аколонтитул
Атрибуты текста	Атеқст атрибутқәа
Невозможно изменить защищённые ячейки.	Иауам рыԥсахра ихьчоу абларҭақәа.
Документ открыт только для чтения.	Адокумент аартуп аԥхьара мацаразы.
Невозможно изменить часть массива.	Иауам аԥсахра амассив ахәҭак.
Ошибка:	Агха:
Ошибка: деление на ноль	Агха: ноль ала ашара
Ошибка: Неправильный тип данных	Агха: Ииашам адырқәа ртип
Ошибка: недопустимая ссылка	Агха: изымуа азхьарԥш
Ошибка: недопустимое имя	Агха: изымуа ахьӡ
Ошибка: Недопустимое числовое значение	Агха: изымуа ахьыԥхьаӡаратә ҵакы
