Для рассылки электронной почты %PRODUCTNAME требуется действительная учётная запись.\n\nНастроить сейчас учётную запись электронной почты?	%PRODUCTNAME аелектронтә ԥошьҭа азынашьҭрақәа рзы  аелектронтә ԥошьҭа архиарақәа аҭахуп.\n\n Иазшәырхиарц шәҭахума уи уажәы ?
Установка %PRODUCTNAME	%PRODUCTNAME ақәыргылара
У вас есть возможность зарегистрироваться как пользователь %PRODUCTNAME. Регистрация добровольная и без обязательств.\n\nЕсли вы зарегистрируетесь, мы можем информировать Вас о новых разработках относительно этого продукта.	%PRODUCTNAME хархәаҩык иаҳасаб ала шәыҽҭашәыҩҩыр ҟалоит. Аҽҭаҩҩра хатәгәаԥхаралоуп хәдықәҵара ыҟаӡам
Шаблон создан мастером <wizard_name> в <current_date>.	<wizard_name>  <current_date> ала аҟаза ахсаала аԥҵан
Настройка соединения с ADO	ADO аимадара армазеира
Выберите папку где хранятся файлы dBase.	dBase афаилқәа ахьыҵәаху аҭаӡ алышәх.
Невозможно создать связь по DDE с % для % области %.	DDE % ала аимадара аԥҵара ауам  % аҵакыра % ала.
\<item type=\"input\"\>=DEGREES(ACOT(1))\</item\> возвращает значение 45. Тангенс 45 градусов равен 1. 	DEGREES(ACOT(1 )) returns 45. The tangent of 45 degrees is 1. 
Публикация через FTP-прокси не поддерживается.	FTP-апрокси ала акьыԥхьра аднакылом.
Совместимость с HTML	HTML иацааиуа
Название базы данных MySQL	MySQ адыррақәа рышьаҭа ахьыӡ
Как вы хотите подключиться к базе данных MySQL?	MySQL адырра ашьаҭа шәҽаԥышәшьырц шԥашәҭаху ?
Вы можете подключиться к базе данных MySQL используя ODBC или JDBC.\nПожалуйста, свяжитесь с системным администратором, если не уверены в правильности настроек.	ODBC ма JDBC шәхы иархәаны MySQL адыррақәа рышьаҭа шәамадахар ҟалоит\n Шәиамада шәасистематә администратор, архиарақәа рыгәра шәымгозар.
Общая ошибка OLE.	OLE азеиԥш гха
Подключение P~DF конвертера	P~DF конвертор аҿакра
Введите имя подключения PDF	PDF аҿакра ахьӡ алышәх
Конвертер PDF	PDF конвертор
Точка останова	Аанкыларҭа
Управление точками останова	Аанкыларҭақәа рнапхгара
Ось ~Z...	Агҵәы Z...
Переход	Аиасра
ID Справки	Аилкаагатә ID
Основная сетка оси ~Y...	Акаҭа хада агәҵәы ~Y...
Индикатор выполнения	Анагӡаратә индикатор
Поля первичного ключа	Аҭыԥ ихадоу ацапха
Обзор...	Аххәаа
Обзор	Аххәаа
Изменился тип подключения.\nДля того, чтобы изменения вступили в силу, нужно закрыть все формы, отчёты, запросы и таблицы.\n\nХотите закрыть все документы сейчас?	Аҿакра ахкы аҽаԥсахит. \nАԥсахрақәа аус рурц азы, аформақша зегьы, аҳасабырбақәа, ашьҭаҵарақәеи аҭаӡҩырақәеи аркызароуп.\n\nАдокументқәа зегь ашәыркыр шәҭахума уажәы?
Вставить закладку	Вставить закладку
 Выберите \<item type=\"menuitem\"\>Сервис – Параметры автозамены – Подстановка слов\</item\>. 	Выберите команду \<emph\>Сервис - Автозамена - Завершение слов\</emph\>.  
 Гиперссылка (ГН и ГК)	Гиперссылка (LS и LE)
В тело вращения	еихагьежьуа ахәамц ахь
Легенда	Легенда
 Press Enter.	Нажмите клавишу \<item type=\"keycode\"\>ВВОД\</item\>.
Настройка соединения с СУБД Oracle	СУБД Oracle аиԥшьра архиара
Подождите пока Windows настраивает [ProductName]	Шәааԥшы Windows [ProductName] архиаанӡа
 - %PRODUCTNAME Base	- %PRODUCTNAME Base
10 первых	- 10 первых -
- весь лист -	- абӷьыц зегьы -
 - %PRODUCTNAME Base: конструктор запросов	- Адҵаалартә дизаинер %PRODUCTNAME Base
 - Лицензионное соглашение на использование программного обеспечения	- Апрограмматә хәдақәҵа ахархәаразы алицензиатә еқәшахаҭра
- пользовательский -	- ахархәаратә -
- Пользовательские данные	- Ахархуаҩтә дыррақәа
- нет -	- мап -
- не определён -	- не определен -
- неопределён -	- неопределен -
- переместить в конец -	- переместить в  конец -
-	--
>	->
-\<item type=\"input\"\>3,48\</item\>	-3,48
-env	-userid={user id}
: 	:
~...	...
& или $0	…
Перед	... аҟынӡа
До	... аҟынӡа
Сбор информации требуемой для установки...	... ашьақәыыргыларазы аинформациа аизгара
После	... ашьҭахь
Отличие от	.... аҟынтә аиԥшымра
Экспорт в:	.... ахь аекспорт 
Копировать в	...ахь акопи ҟаҵара
Искать только в	...мацара иԥшаатәуп
'01/01/1900'	'01/01/00'
'01/01/1904'	'01/01/04'
'12/30/1899'	'12/30/99'
«Отмена» прекратит работу мастера установки.	'Cancel' ends the Installation Wizard without installing this software.
«Отмена» прекратит работу мастера удаления.	'Cancel' ends the Uninstallation Wizard without removing this software.
«XX» не был добавлен.	'XX' не был добавлен.
«XX» не может быть заменён.	'XX' не может быть заменен.
Файл «$(ARG1)» не может быть восстановлен и открыт.	«$(ARG1)» афаил аиҭашьақәыргылареи аартреи иауӡом.
(без таблицы)	(аҭаӡҩырҭа ада)
(без сортировки);по возрастанию;по убыванию	(еилыхрада);аизҳарала;аиҵахарала
(Подписано)	(Иаҵаҩҩуп)
(пусто)	(иҭацәуп)
(без функции);Average;Count;Maximum;Minimum;Sum;Group	(Функциа ада);Average;Count;Maximum;Minimum;Sum;Group
Невозможно использовать [*] в качестве критерия.	[*] акритери ҳасабла ахархәара иауӡом
Установка [2] приостановлена. Вы должны откатить изменения сделанные инсталлятором. Вы хотите откатить изменения?	[2] ашькәыргылара аамҭала иаанкылоуп. Ақыргылага иҟанаҵаз аԥсахрақәа мап рыцәктәуп. Аԥсахрақәа мап рыцәкра шәақшаҳаҭума?
[2] Не могу установить один из необходимых продуктов. Свяжитесь с Вашим системным администратором. {{System Error: [3].}}	[2] Иахәҭоу аалыцк сзышьақәыргылом. Шәсистематә администратор шәидҵаал: [3].}}
[Введите «yes» или «no»]:	[Enter "yes" or "no"]:
Выберите язык для [ProductName].	[ProductName] азы абызшәа алышәх.
[ProductName] будет установлен в качестве приложения по умолчанию для открытия файлов Microsoft Office. Это означает, что при двойном щелчке на этих файлах, они будут открыты в [ProductName], а не в той программе, в которой открываются сейчас.	[ProductName] ахала иаанартлоит абарҭ афаилхкқәа:
[ProductName] Setup is preparing the Installation Wizard which will guide you through the program setup process. Please wait.	[ProductName] ашьақәыргылара азҟаза аҽархиоит, уи ашьақәыргылараҿы ишәыцхраауеит. Шәааԥшы. 
Установка  [ProductName] завершена.	[ProductName] ашьақәыргылара хыркәшоуп.
Удалить [ProductName] с вашего компьютера.	[ProductName] шәкомпиутер аҟынтәи иаԥыхтәуп
Установить [ProductName] в:	[ProductName] шьақәыргылатәуп: ... аҿы
[Без]	[Ада]
[Пользовательский]	[Ахархәаҩ]
[Все]	[Зегьы]
{[ProductName] }Программа установки завершена с ошибкой.	{[ProductName] }Апрограмма агха аҭаны ишьақәыргылоуп.
{[ProductName] }Программа установки завершена.	{[ProductName] }Апрограмма шьақәыргылоуп.
{{Диск переполнен: }}	{{Адиск ҭуп: }}
{{Неустранимая ошибка: }}	{{иузмыриашо агха: }}
{55}{80}{70}{70}{70}	{120}{70}{70}{70}{70}
{&MSSansBold8}Установка [ProductName]	{MSSansBold8} [ProductName] ақыргылара
{&MSSansBold8}Лицензионное соглашение	{MSSansBold8} Алицензиатә еиқәшаҳаҭга 
{&MSSansBold8}Готов к восстановлению программы	{MSSansBold8} Апрграмма аиҭашьақәыргыларазы ихиоуп.
{&MSSansBold8}Управление программой	{MSSansBold8} Апрограмма анапхгара
{&MSSansBold8}Удалить программу	{MSSansBold8} Апрограмма аԥыхтәуп
{&MSSansBold8}Типы файлов	{MSSansBold8} Афаил хкқәа
{&MSSansBold8}Готов к установке	{MSSansBold8} Ашьақәыргыларазы ихиоуп.
{&MSSansBold8}Подсказки для установки	{MSSansBold8} Ашьақҿыргыларазы аҵаҳәарақәа
{&MSSansBold8}Каталог назначения	{MSSansBold8} Изызку акаталог 
{&MSSansBold8}Изменение текущей папки назначения	{MSSansBold8} Уажәтәи аҭаӡ ахықәкыра аԥсахра
