Арҽхәаԥхьыӡқәа, жәҩантәылақәа рынцәахәы Аллаҳ иузкуп.	﻿Хвала Аллаху, Господу миров,
Иаҳзылԥхауеи иҳаназыжьуеи уара уоуп.	Милостивому, Милосердному,
Уара уоуп ақәыӡбара амш иақәиҭугьы!	Властелину Дня воздаяния!
Ҳарҭ уара ҳуеихырхәоит, уара ҳуашьапкуеит, уара уҟынтә мацара ҳазыԥшуеит ацхыраарагьы.	Тебе одному мы поклоняемся и Тебя одного молим о помощи.
Амҩа иаша ҳақәҵа.	Веди нас прямым путем,
Лахь зуҭо, имҩахҟьаз рышҟа акәымкәа, аразҟы зуҭаз ауаа шьахәқәа рымҩахь ҳнага.	путем тех, кого Ты облагодетельствовал, не тех, на кого пал гнев, и не заблудших.
Ари хьаҳәаԥаҳәа змам шәҟәуп. Аллаҳ иҿагылара зхы ацәызыхьчо рзы имҩақәҵагоуп.	Это Писание, в котором нет сомнения, является верным руководством для богобоязненных,
Урҭ иҟалаша агәра ргоит, рнамаз ииашаны иркуеит. Ираҳҭаз аразҟы аҟынтә, Аллаҳ имҩа иақәдырӡуеит.	которые веруют в сокровенное, совершают намаз и расходуют из того, чем Мы их наделили,
Урҭ, уара иуҭаз ашәҟәы еиԥш, уаанӡа илбааҳгаз иԥшьоу аҩырақәагьы рыгәра ргоит, анарцәгьы хьаҳәаԥаҳәада иазхарҵоит.	которые веруют в ниспосланное тебе и ниспосланное до тебя и убеждены в Последней жизни.
Дара убарҭ рынцәахәы  иҟынтә  ирзааиз  ииашоу  амҩа  иануп.  Зхы ҿызхуагьы дара ракәхоит.	Они следуют верному руководству от их Господа, и они являются преуспевшими.
Азхамҵара зҽадызцалаз ракәзар, урҭ, иагьа ргәы рҽануҵаргьы, зегьдарароуп, аиаша азхарҵом.	Воистину, неверующим безразлично, предостерег ты их или не предостерег. Они все равно не уверуют.
Аллаҳ урҭ рыгәқәеи рлымҳақәеи ишәаҳахьеит. Рыблақәагьы аш рхылахьеит. Урҭ агәаҟра ду рзыԥшуп.	Аллах запечатал их сердца и слух, а на глазах у них — покрывало. Им уготованы великие мучения.
Ауааԥсыра  рыбжьара, ишазхарымҵогьы, «Аллаҳи нарцәытәи амши азхаҳҵеит» зҳәақәогьы убап.	Среди людей есть такие, которые говорят: «Мы уверовали в Аллаха и в Последний день». Однако они суть неверующие.
Арҭ Аллаҳи изхаҵаҩцәеи ржьара иашьҭоуп. Аха рхы мацара ржьалоит, дара ирыздыруам акәымзар.	Они пытаются обмануть Аллаха и верующих, но обманывают только самих себя и не осознают этого.
Рыгәқәа рҿы азхамҵара иахылҿиаауа чмазарак рымоуп. Аллаҳгьы урҭ рчымазара иациҵоит. Амцқәа ирҳәақәо ирызкынгьы хьаала иҭәу гәаҟрак рԥеиԥшуп.	Их сердца поражены недугом. Да усилит Аллах их недуг! Им уготованы мучительные страдания за то, что они лгали.
Арҭ, «Аԥсабараҿы аичырчара цәыршәымган» ҳәа анрауҳәалак, «Ҳара иеинзраало, ибжьаҟазо ҳреиуоуп» рҳәоит.	Когда им говорят: «Не распространяйте нечестия на земле!». — они отвечают: «Только мы и устанавливаем порядок».
Урҭ  аичырчаҩцәа   рхаҭаԥсаҭақәа  роуп,  амала дара ирыздыруам акәымзар.	Воистину, именно они распространяют нечестие, но они не осознают этого.
«Ауааԥсыра  ишазхарҵо  еиԥш  шәаргьы  иазхашәҵа» ҳәа анроуҳәалак: «Ҳаргьы,   абанҭ   ахшыҩдақәа   реиԥш   иазхаҳҵарыма?»   рҳәоит. Ахшыҩдаҵәҟьақәа рхаҭақәа роуп, ирыздыруам акәымзар.	Когда им говорят: «Уверуйте так, как уверовали люди», — они отвечают: «Неужели мы уверуем так, как уверовали глупцы?». Воистину, именно они являются глупцами, но они не знают этого.
Азхаҵаҩцәа ианрықәшәалак, «Иазхаҳҵеит» рҳәоит. Амала раҩсҭаацәеи (руацәа  азхамҵаҩцәеи)  дареи  анеизынхалак:  «Хымԥада,  ҳарҭ  шәара ҳшәыдгылаҩцәоуп. Урҭ ҳархыччоит ауп» рҳәоит.	Когда они встречают верующих, то говорят: «Мы уверовали». Когда же они остаются наедине со своими дьяволами, они говорят: «Воистину, мы — с вами. Мы лишь издеваемся».
Аха Аллаҳ иоуп урҭ ирхыччо. Рхымҩаԥгашьа амшалагьы дрықәыӡбоит, абас ишахдырҟьогьы, аамҭа риҭоит.	Аллах поиздевается над ними и увеличит их беззаконие, в котором они скитаются вслепую.
Иара убарҭ, ахҿыхра ахаҭыԥан, амҩахҟьара амҩа ылызхыз роуп. Аха рыхәаахәҭра алҵшәа рзаанамгеит, амҩа иашагьы иазықәымҵеит.	Они — те, которые купили заблуждение за верное руководство. Но сделка не принесла им прибыли, и они не последовали прямым путем.
Урҭ  рҭагылазаашьа  аҵх  агәҭаны  амца  еиқәызҵаз  иҭагылазаашьа иаҩызоуп. Амца ианарлашо аамҭазы, Аллаҳ, рылашара аарԥырганы, акы рымбо алашьцара инҭаиргылоит.	Они подобны тому, кто разжег огонь. Когда же огонь озарил все вокруг него, Аллах лишил их света и оставил их в темноте, где они ничего не видят.
Урҭ дагәоуп, иҿаҳауп, илашәуп. Уажәшьҭа аиаша изазыхынҳәуам.	Глухие, немые, слепые! Они не вернутся на прямой путь.
Мамзар урҭ рҭагылазаашьа, алашьцара агәҭаны адыд мацәыс ала икыдҵәаны иауа ақәа ицәылахаз ауаа рҭагылазаашьа иаҩызоуп. Рыԥсы иацәшәаны,  адыд  мацәыс  абжьы  рмаҳарц  азы  рнапқәа  рлымҳақәа иҭарыџьгәоит. Аха Аллаҳ, азхамҵаҩцәа амацәаз иҭеикхьеит.	Или же они подобны тем, кто оказался под ливнем с неба. Он несет мрак, гром и молнию. Они же в смертельном страхе затыкают уши пальцами от грохота молний. Воистину, Аллах объемлет неверующих.
Амацәыс рыблақәа арлашәуашәа икшоит. Уи алашара рхы иархәаны, маҷк иныҟәоит. Алашьцара  ианыҵахалак  иахьгылац  иаанхоит.  Аллаҳ иҭаххазҭгьы, урҭ ирмаҳауа, ирымбо рыҟаҵарагьы илшон. Хымԥада, Аллаҳ илмшо акагьы ыҟам.	Молния готова отнять у них зрение. Когда она вспыхивает, они отправляются в путь, когда же опускается мрак, они останавливаются. Если бы Аллах пожелал, Он лишил бы их слуха и зрения. Воистину, Аллах способен на всякую вещь.
