Ша сов къинхетаме  а‚ къинхетаме а волчу Делан  цIарца	بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ
Хастам бу Далла– Iаламийн Дена,	الْحَمْدُ للّهِ رَبِّ الْعَالَمِينَ
Ша сов къинхетаме а‚ къинхетаме а волчу,	الرَّحْمنِ الرَّحِيمِ
Шен долахь бекхаман де долчу	مَلِكِ يَوْمِ الدِّينِ
Деккъа Хьуна Iибадат до оха‚ Хьоьга гIо а доьху	إِيَّاكَ نَعْبُدُ وإِيَّاكَ نَسْتَعِينُ
Нисде Ахь тхо нийсачу новкъа,	اهدِنَا الصِّرَاطَ المُستَقِيمَ
Ахь шайна ниIмат деллачеран новкъа,Хьо шайна оьгIаз ца ваханчеран а‚ тила ца беллачеран а новкъа	صِرَاطَ الَّذِينَ أَنعَمتَ عَلَيهِمْ غَيرِ المَغضُوبِ عَلَيهِمْ وَلاَ الضَّالِّينَ
Алиф-лᾱм-мῡм	الم
ХIара жайна,   цу чохь шеко яц, нийса некъ бу /Делах/ кхоьруш болчарна	ذَلِكَ الْكِتَابُ لاَ رَيْبَ فِيهِ هُدًى لِّلْمُتَّقِينَ
Уьш бу  хьуламех долчух тешаш берш, ламаз хIоттош берш, Оха шайна деллачу рицкъанна тIера /дикачу агр/ харжаш а еш  берш	الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ
Ишттанаш а бу уьш, тешаш, хьоьга доссийначух (Къуръанах) а, хьоьга доссийначул хьалха диссийначех а, эхартах а уьш чг тешаш бу	والَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالآخِرَةِ هُمْ يُوقِنُونَ
Уьш бу шайн Кхиош-кхобучуьнгара  нийсачу новкъахь‚ уьш бу баккхийбийраш	أُوْلَئِكَ عَلَى هُدًى مِّن رَّبِّهِمْ وَأُوْلَئِكَ هُمُ الْمُفْلِحُونَ
Баккъалла а, ца тешаш берш – царна бен дац ахь шайна кхерам тесча а‚ ца тесча а‚  уьш тешар бац	إِنَّ الَّذِينَ كَفَرُواْ سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لاَ يُؤْمِنُونَ
Церан дегнаш а‚ лергаш а, мухIар а тоьхна, дIакъевлина‚ церан бIаьргашна дуьхьал кирхьа ду‚  царна хир ду деза доккха Iазап	خَتَمَ اللّهُ عَلَى قُلُوبِهمْ وَعَلَى سَمْعِهِمْ وَعَلَى أَبْصَارِهِمْ غِشَاوَةٌ وَلَهُمْ عَذَابٌ عظِيمٌ
Нахах бу цхьаберш‚ шаьш олуш: 'Тешна тхо Делах а‚ тIаьххьарчу дийнах а'-  уьш ма бац тешаш	وَمِنَ النَّاسِ مَن يَقُولُ آمَنَّا بِاللّهِ وَبِالْيَوْمِ الآخِرِ وَمَا هُم بِمُؤْمِنِينَ
Iехо гIерта уьш Дела а‚ ийман диллинарш а‚ амма цара ца Iехабо шаьш бен‚ – /и/ ца хаало-кх царна	يُخَادِعُونَ اللّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلاَّ أَنفُسَهُم وَمَا يَشْعُرُونَ
Церан дегнашкахь цамгар ю‚ Дала алсамъяьккхи и кхин т а цамгарца‚ царна ма ду лазош долу Iазап‚ шаьш хиларна харцлуьйш	فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ اللّهُ مَرَضاً وَلَهُم عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ
Цаьрга аьлча: ' Ма леладе лаьтта тхь боьханиг', цара олу: 'Тхо-м диканиг лелош дерш ма ду!'	وَإِذَا قِيلَ لَهُمْ لاَ تُفْسِدُواْ فِي الأَرْضِ قَالُواْ إِنَّمَا نَحْنُ مُصْلِحُونَ
Уьш бац‚ ткъа‚ боьханиг лелош  берш? Делахь а‚ хаа ца ло-кх царна	أَلا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَكِن لاَّ يَشْعُرُونَ
Цаьрга аьлча: 'Тешийша‚ нах ма тешшар',  цара олу: 'Тхо тешар ду ткъа‚ Iовдалш санна?' Баккъалла а, уьш бац ткъа‚ Iовдалш? Амма, ца хаьа-кх царна	وَإِذَا قِيلَ لَهُمْ آمِنُواْ كَمَا آمَنَ النَّاسُ قَالُواْ أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاء أَلا إِنَّهُمْ هُمُ السُّفَهَاء وَلَكِن لاَّ يَعْلَمُونَ
Ийман диллинчарна дуьхьалкхетча‚ цара олу: 'Тхо ийман диллина ду.' Шайн шайтIанашца цьанабисча‚ цара олу: 'Баккъалла а,  тхо шуьца ма ду‚ тхо-м уьш (ийман диллинарш) хьийзош дарий'	وَإِذَا لَقُواْ الَّذِينَ آمَنُواْ قَالُواْ آمَنَّا وَإِذَا خَلَوْاْ إِلَى شَيَاطِينِهِمْ قَالُواْ إِنَّا مَعَكْمْ إِنَّمَا نَحْنُ مُسْتَهْزِؤُونَ
Дала сийсаза бийр бу уьш, чгийр бу шайн тиларчохь д-схьа хьийзаш	اللّهُ يَسْتَهْزِىءُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ
Уьш бу нийсачу некъах тилар эцнарш‚ ма сắ ца хили-кх церан йохка-эцарх‚ уьш ца хили-кх нийсачу новкъахь	أُوْلَئِكَ الَّذِينَ اشْتَرُوُاْ الضَّلاَلَةَ بِالْهُدَى فَمَا رَبِحَت تِّجَارَتُهُمْ وَمَا كَانُواْ مُهْتَدِينَ
Уьш тера бу‚ цIе а латийна‚ тIаккха цо шена гонаха дерг серладаьккхича‚ Дала шайн нур дIа а даьхьна‚ боданехь бисинчарех‚ шайна хмма ца гуш	مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَاراً فَلَمَّا أَضَاءتْ مَا حَوْلَهُ ذَهَبَ اللّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لاَّ يُبْصِرُونَ
Къора а‚ мотт а ца хууш а‚ бIаьрзе а хилла,  уьш юха ца боьрзу-кх/нийсачу новкъа/	صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لاَ يَرْجِعُونَ
Я стигларчу догIанан марханах тера‚ шена чохь бода болуш‚ къовкъар долуш‚ ткъес тохар долуш – цара лергаш чу пIелгаш дуьхку‚ ткъес кхетна баларх ларлуш. И Дела ма ву гоне лоцур болуш  и ца тешаш берш	أَوْ كَصَيِّبٍ مِّنَ السَّمَاء فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصْابِعَهُمْ فِي آذَانِهِم مِّنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ واللّهُ مُحِيطٌ بِالْكافِرِينَ
Ткъес герга ду церан бIаьрса дIаэца‚ шайна цо серло ма еллинехь‚ дIабоьлху уьш цуьнца‚ шайна Iарж ма еллинехь‚ совцу. Далла лиънехьара‚ хазар а‚ бIаьрса а дIахьур дара церан: Дела массо а хIуманна тхь ницкъ кхочуш ма ву	يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ كُلَّمَا أَضَاء لَهُم مَّشَوْاْ فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُواْ وَلَوْ شَاء اللّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ إِنَّ اللَّه عَلَى كُلِّ شَيْءٍ قَدِيرٌ
ХIай нах!  Шаьш а,  шайл хьалхарнаш а кхоьллинчу шаьш Кхиош-кхобучунна Iибадат де‚ шу хила тарло-кх /Делах/ кхоьруш	يَا أَيُّهَا النَّاسُ اعْبُدُواْ رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ
И ву шуна латтанах мотт бина‚ стигланах тхов бина‚ стиглара хи а даийтина‚ цуьнца стоьмаш а кхиина шуна рицкъана. Тккха ма нисве Делаца цхьа а‚ шайна хуъушехь	الَّذِي جَعَلَ لَكُمُ الأَرْضَ فِرَاشاً وَالسَّمَاء بِنَاء وَأَنزَلَ مِنَ السَّمَاء مَاء فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقاً لَّكُمْ فَلاَ تَجْعَلُواْ لِلّهِ أَندَاداً وَأَنتُمْ تَعْلَمُونَ
Нагахь шу шеконехь делахь, Оха Тхан  лега /Мухьаммад пайхамаре/ доссош хиллачух, тккха схьадаладе цунах тера цхьа сурат‚  схьакхайкха шайн тешаш (гьнчий)‚ Дела воцург‚ шаьш бакълуьйш делахь	وَإِن كُنتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَى عَبْدِنَا فَأْتُواْ بِسُورَةٍ مِّن مِّثْلِهِ وَادْعُواْ شُهَدَاءكُم مِّن دُونِ اللّهِ إِنْ كُنْتُمْ صَادِقِينَ
Нагахь шуьга и ца далахь – ткъа и шуьга цкъа а далур дац - кхерийша цIарах‚ шен ягориг адамаш а‚ тIулгаш а долчу. Иза кечйина  цатешачарна	فَإِن لَّمْ تَفْعَلُواْ وَلَن تَفْعَلُواْ فَاتَّقُواْ النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ أُعِدَّتْ لِلْكَافِرِينَ
