Аԥсны Аҳәынҭқарра Аконституциа.	Конституция республики Абхазия.
1994 шықәса абҵара 26 рзы Аԥсны Аҳәынҭқарра Иреиҳаӡоу Асовет аилатәара 12-тәи ааԥхьара иаднакылеит, 1999 шықәса жьҭаарамза 3 рзы жәларзегьтәи бжьыҭиирала иақәшаҳаҭхеит, 1999 шықәса жьҭаарамза 3 рзы жәларзегьтәи абжьыҭиира (ареферендум) аан ирыдыркылаз аԥсахра алагаланы.	Принята на сессии Верховного Совета Республики Абхазия 12-го созыва 26 ноября 1994 г., одобрена всенародным голосованием 3 октября 1999 г. с изменением, принятым на всенародном голосовании (референдуме) 3 октября 1999 г.
Ҳарҭ, Аԥсныжәлар, ҳхатәҳәаақәҵаратә зин аԥсҭазаара иаларҵәо, жәлары зегьы рзы насыԥла аԥсҭазаареи аҩнуҵҟатә гәҭынчреи ҳарзықәԥо, ауаҩытәыҩса изинқәеи, ихақәиҭрақәеи, ауаажәларратә ҳәоуеиқәшәареи шьақәырӷәӷәо, гәеизҳарала ирылаҳҳәоит, егьышьақәҳаргылоит Аԥсны Аҳәынҭқарра Аконституциа.	Мы, народ Абхазии, осуществляя свое право на самоопределение, стремясь содействовать всеобщему благоденствию, внутреннему спокойствию, утверждая права и свободы человека, гражданский мир и согласие, торжественно провозглашаем и устанавливаем Конституцию Республики Абхазия.
Актәи ахы. аконституциатә шьақәгылашьа ашьаҭақәа.	Глава 1. основы конституционного строя.
Аԥсны - жәлар рхатәҳәаақәҵаратә зин инақәыршәаны, ҭоурыхла ишьақәгылаз, суверентә, демократиатә, зинтә ҳәынҭқарроуп. Ахьыӡқәа "Аԥсны" ("Аԥсны Аҳәынҭқарра"), "Республика Абхазиӷ" ҵакыла акоуп, еиҟароуп.	Республика Абхазия (Апсны) - суверенное, демократическое, правовое государство, исторически утвердившееся по праву народа на свободное самоопределение. Наименования Республика Абхазия и Апсны равнозначны.
Ажәлармчра - Аԥсны аҳәынҭқарратә мчра шьаҭас иамоуп. Аԥсны асуверенитет ныҟәгаҩыси уи амчра хыҵхырҭаси иамоу Аԥсныжәлар роуп. Ажәлар рымчра аԥсҭазаара иаладырҵәоит дара рхала ма рхаҭарнакцәа рыла.	Народовластие - основа государственной власти в Республике Абхазия. Носителем суверенитета и единственным источником власти в Республике Абхазия является ее народ - граждане Республики Абхазия. Народ осуществляет свою власть непосредственно или через своих представителей.
Аԥсны - жәларбжьаратәи азин иалахәу-егьырҭ аҳәынҭқаррақәеи иареи рыбжьара ишьақәнаргылоит аиқәшаҳаҭратә еизыҟазаашьақәа. Жәларбжьаратәи аиқәшаҳаҭрақәа рыбжьаҵашьеи, акьыԥхь рарбашьеи, рышьақәырӷәӷәашьеи, рԥыргашьеи шьақәыргылахоит закәанла.	Республика Абхазия - субъект международного права - вступает в договорные отношения с другими государствами. Порядок заключения, опубликования, ратификации и денонсации международных договоров устанавливается законом.
Аԥсны шьақәгылоуп араионқәеи (Гагратәи, Гәдоуҭатәи, Аҟәатәи, Гәылрыԥшьтәи, Очамчыратәи, Тҟәарчалтәи, Галтәи) ақалақьқәеи (Гагра, Гәдоуҭа, Афон Ҿыц, Аҟәа, Очамчыра, Тҟәарчал, Гал) зҵазкуа аҭоурыхтә дгьылқәа Саӡны, Бзыԥын, Гәма, Дал-Ҵабал, Абжьуа, Самырзаҟан рыла. Аԥсны иаку, лакьысра зқәым, зыцәгара ҟамло тәылоуп.	Республика Абхазия состоит из исторических земель Садз, Бзып, Гума, Дал-Цабал, Абжуа, Самырзакан, на которых расположены районы (Гагрский, Гудаутский, Сухумский, Гулрыпшский, Очамчырский, Ткуарчалский, Галский) и города (Гагра, Гудаута, Новый Афон, Сухум, Очамчыра, Ткуарчал, Гал). Территория Республики Абхазия целостна, неприкосновенна и неотчуждаема.
Адгьыли егьырҭ аԥсабаратә аагарҭақәеи ажәлар ирхатәуп, Аԥсны аҩнуҵҟа урҭ рхы иадырхәоит егьырыхьчоит ажәлар рыԥсҭазаареи рџьауси шьаҭас изларымоу ала. Аԥсабаратә аагарҭақәа рныҟәгашьеи рхархәашьеи ирыдҳәалоу азҵаарақәа рҭыԥ иқәҵахоит Аԥсны азакәанқәа рыла.	Земля и другие природные ресурсы являются собственностью народа, используются и охраняются в Республике Абхазия как основа жизни и деятельности ее граждан. Вопросы владения, пользования и распоряжения природными ресурсами регулируются законами Республики Абхазия.
Аԥсны ҳәынҭқарра бызшәас иамоуп аԥсуа бызшәа. Аурыс бызшәа, аԥсуа бызшәа инаваргыланы, аҳәынҭқарратәии егьырҭ еиуеиԥшым аусҳәарҭақәеи рыҟны ахархәара амоуп. Аԥсны иқәынхо егьырҭ ажәлар гәыԥқәа зегьы рхатәы бызшәа иақәиҭны ахархәара аҳәынҭқарра азин рнаҭоит.	Государственный язык Республики Абхазия - абхазский. Русский язык наряду с абхазским признается языком государственных и других учреждений. Государство гарантирует всем этническим группам, проживающим в Абхазии, их право на свободное использование родного языка.
Аҳәынҭқарратә мчра Аԥсны имҩаԥгахоит азакәанԥҵаратәи, анагӡаратәи, аӡбаратәи мчрақәа рыла еихшаны. Азакәанԥҵаратәи, анагӡаратәи, аӡбаратәи - ихьыԥшым мчрақәоуп.	Государственная власть в Республике Абхазия осуществляется на основе разделения на законодательную, исполнительную и судебную. Законодательная, исполнительная и судебная власти самостоятельны.
