Аԥсны аҳәынҭқарра ашьаустә закәанеидкыла	Уголовный кодекс республики абхазия
Азеиԥш хәҭа	Общая часть
I аҟәша. Ашьаустә закәан	Раздел I. Уголовный закон
1-тәи ахы. АԥСНЫ АҲӘЫНҬҚАРРА АШЬАУСТӘ ЗАКӘАНЕИДКЫЛА АҲАСАБТӘҚӘЕИ АПРИНЦИПҚӘЕИ	Глава I. Задачи и принципы Уголовного Кодекса Республики Абхазия
Аԥсны Аҳәынҭқарра ашьаустә закәанԥҵара	Уголовное законодательство Республики Абхазия
Аԥсны Аҳәынҭқарра ашьаустә закәанԥҵара шьақәгылоуп абри Азакәанеидкыла ала. Ашьаустә ҭакԥхықәра азԥхьагәазҭо азакәан ҿыцқәа абри Азакәанеидкыла ралаҵара ахәҭоуп.	Уголовное законодательство Республики Абхазия состоит из настоящего Кодекса. Новые законы, предусматривающие уголовную ответственность, подлежат включению в настоящий Кодекс.
Абри Азакәанеидкыла шьаҭаркуп Аԥсны Аҳәынҭқарра Аконституциеи еицазхарҵахьоу жәларбжьаратәи азин азыԥҵәақәеи апринципқәеи рыла.	Настоящий Кодекс основывается на Конституции Республики Абхазия и общепризнанных принципах и нормах международного права.
Аԥсны Аҳәынҭқарра Ашьаустә закәанеидкыла аҳасабтәқәа	Задачи Уголовного кодекса Республики Абхазия
Абри Азакәанеидкыла ҳасабтәқәас иамоуп: ауаҩытәыҩсеи атәылауаҩи рзинқәа, рхақәиҭра, ахатәра, азеиԥш ҭышәынтәалара ауаажәларратә шәарҭадара, иааҳакәыршоу аилазаара, Аԥсны Аҳәынҭқарра аконституциатә шьақәгылашьа ацәгьаура рацәыхьчара, ауаатәыҩсаразы аҭынчреи ашәарҭадареи раԥҵара, иара убас, ацәгьаурақәа рыҟамларазы агәҽанҵара.	Задачами настоящего Кодекса являются: охрана прав и свобод человека и гражданина, собственности, общественного порядка и общественной безопасности, окружающей среды, конституционного строя Республики Абхазия от преступных посягательств, обеспечение мира и безопасности человечества, а также предупреждение преступлений.
Абарҭ аҳасабтәқәа рынагӡаразы абри Азакәанеидкыла ишьақәнаргылоит ашьаустә ҭакԥхықәра аҵаҵӷәқәеи апринципқәеи, иҳәаақәнаҵоит иарбан умҭақәоу ауаҩ ихаҭареи, ауаажәларреи, аҳәынҭқарреи рзы цәгьаурақәас иԥхьаӡатәу, ацәгьаурақәа иҟаҵоу рзы ишьақәнаргылоит ашьауӷа хкқәеи егьырҭ ашьаус-зинтә ҟазшьақәа змоу азыԥҵәақәеи.	Для осуществления этих задач настоящий Кодекс устанавливает основание и принципы уголовной ответственности, определяет, какие опасные для личности, общества или государства деяния признаются преступлениями, и устанавливает виды наказаний и иные меры уголовно-правового характера за совершение преступлений.
Азакәанра апринципқәа	Принцип законности
Аумҭа цәгьауроуп ҳәа аԥхьаӡара, ашьауӷа ақәҵара ахымԥадатәра, иара убас, егьырҭ ашьаустә ҵыхәтәақәа шахылҿиаауа шьақәнаргылоит абри Азакәанеидкыла.	Преступность деяния, а также его наказуемость и иные уголовно-правовые последствия определяются только настоящим Кодексом.
Ашьаустә закәан даҽа закәанк иеиԥштәны ахархәара залшом.	Применение уголовного закона по аналогии не допускается.
Азакәан аҿаԥхьа атәылауаа реиҟарара апринципқәа	Принцип равенства граждан перед законом
