Аԥсадгьыл зцәыӡыз – зегь ицәыӡит.	Теяющий родину – теряет все.
Аԥсуа жәаԥҟа	Абхазская пословица
АԤХЬАЖӘА	ПРЕДИСЛОВИЕ
сабшак хәылбыҽхан сыҩны даакылсит Қарбеи Барчан.	субботним вечером ко мне домой зашел Карбей Барчан.
анкьа арҵаҩратә институт аҟны аҵара еицаҳҵон	Когда-то мы учились вместе в педагогическом институте 
ақыҭантәи  школ аҿы директорс ayс иуан	 работал директором сельской школы
Аха Қарбеи дыццакуан. 	Но Карбей спешил. 
Иҳаԥшааит	Мы нашли
Аибашьра аԥхьа иҩын, аха иахьагьы уи ажәит ҳәа узҳәо иҟам.	Написана перед войной, но и сейчас не устарела.
Қарбеи дцеит, ҩажәи жәеиза шықәса раахыс ан лшәындыҟәра иҭаҵәахыз абри апапка, наҟ-наҟ иара иазыԥшыз алахьынҵа сыламыс ианажьны	Карбей ушел, оставив на моей совести дальнейшую судьбу этой папки, тридцать один год пролежавшей в сундуке у матери
Анапҩыра хыстуеит ҳәа снапы ахьсыркьысаанӡа иаалырҟьаны иаасыԥгылаз аҭакԥхықәра сааимнадеит аӡә иакәында, ҩыџьа анышә иамоу рҿаԥхьа.	прежде чем я открыл папку, в этом было что-то отягощавшее меня чувством ответственности, теперь уже не перед одним, а перед двумя умершими.
ахы инаркны аҵыхәаҟынӡа иаразнак снахҟьеит. 	 я сразу прочел рукопись очень быстро, от начала до конца. 
аха нас акырынтә сеиҭазыхынҳәит.	но потом еще несколько  раз вернулся. 
Ари анапҩыра, иара аԥызҵаз илахьынҵа еиԥш, имариамызт.	Рукопись была не  проста, как и судьба ее автора.
Шәарах Кәаӡба хаҭала сара дсыздырӡомызт. 	Самого Шараха Квадзбу я не знал. 
аха аибашьра ҟалаанӡа акырынтә иӡбахә саҳахьан.	но до войны много слышал о нем.
Уи ҳаҵкыс хәышықәса деиҳабын. 	Он был на пять лет старше нас. 
арҵаҩратә техникум Аҟәа даналга, дцеит Ленинградҟа.	Окончив педагогический институт в Сухуме, уехал в Ленинград.
Ленинградтәи арҵаҩцәа еицҿакны Кәаӡба излаихцәажәоз ала, иааирԥшуазаарын агәырҵҟәыл ҟаимаҭ. 	Квадзба, по отзывам его ленинградских профессоров, был человеком незаурядных способностей. 
