Мшыбзиа, ҳаҭыр зқәу ахәаԥшцәа!	Добрый день, уважаемые зрители!
Иахьа ҳара ҳаигәырӷьоит	Сегодня мы рады приветствовать
астудиа «Аԥсны Хабар» аҿы ҳахьиԥыло еицырдыруа ашәҟәыҩҩы Анатоли Ким.	в студии «Апсны Хабар» известного писателя Анатолия Кима.
Сгәы иаанагоит, Анатоли Ким аиҳабыратә биԥарахь иаҵанакуа рыбжьара дызусҭоу аҳ́ара аҭахым.	Думаю, старшему поколению Анатолия Кима не нужно представлять.
Ари еицырдыруа аурыс шәҟәыҩҩуп, иуҳәар ҟалоит, асовет шәҟәыҩҩуп,	Это известный русский, можно сказать, советский писатель,
аха аҿар уи иӡбахә раҳәара аҭахуп,	но молодому поколению необходимо его представить,
избанзар Анатоли Ким ирҿиара аҿар имаҷны ирдыруеит.	потому что о творчестве Анатолия Кима мало кто знает из молодых.
Сгәы иаанагоит, ҳаицәажәара ашьҭахь аӡәырҩы ирҿиара ашҟа аинтерес рызцәырҵуеит,	Думаю, после нашего разговора многие заинтересуются его творчеством,
Анатоли Ким иҩымҭақәа ԥшааны, аԥхьара иалагоит.	найдут произведения Анатолия Кима и будут читать.
Сара Анатоли Ким шәҟәыҩҩык иаҳасабала дыздыруеижьҭеи кырҵуеит,	Я открыл для себя Анатолия Кима очень давно,
уи Аԥсныҟа дшааз ансаҳа,	и когда я услышал о его приезде в Абхазию,
иҿцәажәаразы агәазыҳәара соуит.	мне стало интересно с ним побеседовать.
Ҳаицәажәара аинтерес аҵан.	Наш разговор был содержательным и интересным.
Уи иахьа ари астудиаҿы иацаҳҵап ҳәа сыҟоуп. .	Думаю, мы его продолжим здесь, в студии.
Сара ароман-лакә «Белка» сеиҭаԥхьеит.	Я перечитал роман-сказку «Белка».
Уи ҿыц аартра сара сзы аинтерес аҵан.	Мне было интересно заново открыть его для себя.
Арҿиамҭа «Белка» аҟны акырӡа интересу ахаҿсахьақәа маҷымкәа иагәылоуп.	В произведении «Белка» много интересных образов.
Ароман аҟны иҟоуп аԥсуа мотивқәагьы.	В романе есть и мотивы наши абхазские.
Ҭыԥқәак рҿы Шәара Пицунда шәалацәажәоит, Гагра аӡбахә шәҳәоит,	В нескольких местах Вы говорите о Пицунде, говорите о Гагре,
усҟан Қырҭтәыла аҳәынҭқарра иатәыз аԥсуа ԥшаҳәа аҳасабала.	как об абхазском тогда побережье Грузии.
Уи аамҭазы Аԥсны Қырҭтәыла иахәҭакны иҟан, автономтә республиканы.	Тогда Абхазия была частью Грузии, автономной республикой.
Пицунда Шәара иаашәырԥшит иҵегьы ахаҿсахьақәа,	В Пицунде была вами названа и еще несколько образов,
ҿырԥштәыс иаагозар пицундатәи аеш.	например, образ пицундской белки.
Уаҟа сара сзы ихадоу ахаҿсахьа – амшынҳәа ауп.	Главный там образ все же у меня – дельфин.
