Агәымшәа 	﻿Храброе сердце 
Шаҭландиа 1280 шықәса 	Шотландия 1280 год 
Сара ишәасҳәоит Уилиам Уалас дазусҭоу. 	Я поведаю вам историю Уильяма Уоллеса. 
Англиатәи аҭоурыхҭҵааҩцәа исышьҭоуп амцҳәаҩ ҳәа, 	Английские историки назовут меня лжецом, 
аха аҭоурыхҭҵааҩцәа ирыҩҩоит, дарбану икнарҳауа афырхаҵа. 	но истории пишут те, кто сдергивал героев. 
Шаҭландиатәи акрал дыԥсоит ихылҵыз ҳәа уаҩ даанмыжькәа. 	Король Шотландии умер, не оставив сына после се 
аха Англиа акрал, ишьҭоуп иџьбароу аԥсабара амҵахырхәаҩ Едуард ашьап ҩзы ҳәа, 	И король Англии, жестокий язычник по прозвищу Эдвард Длинноногий, 
хьӡыс изыхҵоу ирылеиҳәеит иара дышнеиуа Шаҭландиатәи апресҭол ахь. 	заявил свои притязания на трон Шотландии. 
Шаҭландиатәи аристократцәа иҿагыланы 	Шотландская знать сражалась с ним и победила 
еимаркәан дара-дарала агәыргьын. 	и сражалась между собой за корону. 
Абар Едуард даарыԥхьоит аинааларазы, 	Тогда Длинноногий пригласил их на переговоры о мире. 
абџьарда. 	Без оружия. Только по одному оруженосцу. 
Адгьыл иқәаарыхәа рыбжьара дыҟан Малкым Уалас, 	Одним из фермеров того графства был Малколм Уоллес, 
уи аҟара зыхьыӡнагамыз иакәын. 	простой землевладелец. 
Иара иман ҩыџьа арԥарцәа, Џьони Уилиами. 	У него было двое сыновей: Джон и Уильям. 
Иуасымҳәази аҩны уҟаз ҳәа. 	Я же сказал тебе остаться. 
Сара аусқәа зегь ҟасҵеит. Шәабацои шәара? 	Ну, я уже все закончил. Куда мы едем? 
Макьандруз иахь. Ааԥхьара ҳаиҭеит аицәажәара аамышьҭахь. 	К МакАндрюсу. Он собирался зайти после жатвы. 
- Сара сцар ҟалома? - Мап, уца аҩныҟа. 	- Я могу поехать? - Нет, ступай домой, малыш. 
- суҳәоит. - Уца аҩныҟа, исҳәа умаҳаӡои? - Уца Уилиам. 	- Но я хочу туда. - Ступай домой или я тебе всыплю. 
Макьандруз! Макьандруз! 	МакАндрюс! 
О анцәа 	Боже мой. 
О анцәа Уилиам. 	Уильям. 
зегь бзиоуп, зегь бзиоуп, зегь бзиоуп, уҽаанкыл. 	Все в порядке, все в порядке. Спокойней, парень. 
Уилиам. 	Уильям. 
ҳара ҳарҽагылароуп, ҳреислароуп. Дара ҳара ҳақәырхоит. 	Я считаю нужно сразу же их атаковать. 
- ҳара ҳрызиааиӡом. - Аҭак раҳҭароуп. 	- Но мы не можем сражаться с ними. - Что-то нужно сделать. 
Пол диашоуп. ҳшьа ҳуроуп. 	Уоллес прав. Атакуем их. 
Дара зегьы ирҽагылаз икнаҳауп асураҿы. 	Но все дворяне, кто желал сражаться, были на том собрании. 
ҳара ҳрызиааиӡом. 	Мы не можем победить армию. 
Ҩынҩижәа жәабаҩык арахәааӡаҩцәа. 	Не с той полсотни фермеров, которых мы поднимем. 
- ҳара ҳрабашьлароуп. - Дара иааиуеит. 	Не нужно побеждать. Просто сражайтесь с ними. 
- Сара сахь ицода? - Сара, саргьы, саргьы, саргьы. 	- Кто со мной? - Я, Уоллес. 
- Ибзиоуп, ибзиоуп. - абасоуп. 	Ладно, ладно. 
- Уабадәықәла? - уара уахьцо сцоит. 	- Куда это ты собрался? - Я поеду с вами. 
сара сахьцо уцуану? Нас иҟауҵози уа? 	Да ну? И что ты будешь делать? 
- Сыцхырауеит. - еилкаауп уара уцхыраҩ бзиоуп. 	- Я помогу вам. - Ты то поможешь. 
Сара исҭахуп аҩны сахынӡаҟам, 	Но мне нужно, чтобы ты остался здесь 
Сыҩны уахылаԥшып ҳәа. 	и присматривал за хозяйством, пока меня не будет. 
Аисшьа здыруеит. 	Я могу сражаться. 
Издыруеит, уара уи ишулшуа 	Я знаю. Знаю, что ты можешь сражаться. 
Аха ҳҟәышзароуп ҳара ауаҩра Ианҳалҵуа. 	Но лишь разум делает нас мужчинами. 
Уаҵәынӡа. 	Увидимся завтра. 
- уҽыҵәах. 	- Англичане. - Пригнись. 
Уашьеи уаби рыда дара ҳаршьоит, Арахәааӡарҭа рыблоит. 	Пока нет твоего отца и брата они убьют нас и сожгут ферму. 
Ари зегьы аилазаара ҳуалуп. Абри ауп уара, иҳ уара. 	Все в наших руках, Хэмиш. 
Саб,саб. 	Пап? 
Уилиам! 	Уильям. 
Ара уааи. 	Иди сюда, парень. 
Уилиам. 	Уильям. 
Сара уаб иашьа Аргаил соуп. 	Я твой дядя Аргайл. 
Уара уан улеиԥшуп. 	Ты похож на свою мать. 
Уаха ара ҳаангылан, уаҵәы сара сахь ҳцап. 	Мы сегодня побудем здесь, а завтра ты поедешь со мной. 
Сара исҭахӡам ақәҵра. 	Я не хочу уезжать. 
Уара иуҭахызма уаб дыԥсыр, 	Ты не хотел, чтобы твой отец погиб, правда? 
аха иара дҭахеит, 	Но так случилось. 
Аԥап аԥсы диԥшьеит, 	Слышал, что говорил священник? 
анцәа духәааит, 	Господь благословит тебя и наставит... 
Иара лаҭын бызшәоуп. 	Но это же на латыни было. 
Уара иузымдырӡои Алаҭынбызшәа? 	Ты не говоришь на латыни? 
Ҳара уи ҳариашароуп, ус акәӡами? 	Придется нам это исправить. 
Анцәа духәааит, 	Господь, 
уеиқәирхааит,духылыԥшаит, 	да благословит тебя и спасет. 
илашоу ахыҿра 	Господь, да прольет свой свет на тебя. 
Уиҭалаит, 	И да поможет тебе Господь 
Аҭынчра, 	и упокоит душу твою. 
Амин. 	Аминь. 
Угәы аԥсы ашьап, 	Твое сердце свободно. 
Умшәан. Дара рышҭалараан. 	Найди мужество следовать за ним. 
Иҟарҵо закузеи? 	Что они делают? 
Абзиараз ҳәа еибырҳәоит дара ртәала. 	Прощаются с ним по-своему. 
Ихәмаруеит иҟамло авалынкақәа рыла аволынка. 	Играют запрещенные мелодии на запрещенных волынках. 
Ҳаб даныршьуаз убри аҩыза ахҭыс ҳхаҳгеит уабгьы саргьы. 	Тоже самое было со мной и твоим папой, когда убили нашего отца. 
Аханатә иуҵароуп ахархәашьа, 	Сначала научись пользоваться... 
абри ала 	этим. 
нас сара иусырҵоит ахархәашьа 	А затем я научу тебя использовать... 
абри ала. 	это. 
Лондон 	Лондон 
Акрынҵы ашьтахь 	Много лет спустя, 
Едуард ашьапҩзы Англиа акрал 	Эдуард Длинноногий, король Англии, 
еиҿикааит иҷкәын ичара итрон дықәланы дцарц азы, 	наблюдал за венчанием старшего сына, который был наследником трона. 
амин. 	Аминь. 
Ҭацас иҷкәын изы иара далыхит 	Невестой для сына 
иара иандаҭлоз иԥҳа. 	Длинноногий выбрал дочь своего врага, 
Франциа акрал. 	короля Франции. 
Зехьынџьара иалацәажәон аҭаца хшаара дшылмоуа Едуард ашьаԥыҩзы ицхыраарада. 	Повсюду ходили слухи, что Длинноногий лично приложил усилия, 
Убри иара иӡбхьан аханатәгьы. 	чтобы принцесса зачала.
Шаҭландиа … 	Шотландия... 
сара сыдгьыл. 	моя земля. 
Франциа иԥсыҽхоит амчра змоу рҽаԥхьа 	Французы будут ползать на брюхе перед силой и мощью, 
Нас дара агәра зларгоит ҳара ҳамчра иаҳзеиҽымкааозар ҳадгьыл бжьахаҟны! 	но как они уверуют в нашу силу, если мы не можем править на всем острове? 
- Дабоҟоу сыҷкәын? - Саҭамзааит шәыҳарагыра. 	- Где мой сын? - Простите, мой господин. 
Иара дсыҳәеит ихаҭарнакс сҟаларц. 	Он меня попросил придти вместо него. 
Сара сзыԥхьаз иара иоуп, бара бокуӡом. 	Я послал за ним, а он посылает тебя. 
Сара сцома шәхаҵкы? 	Мне уйти, мой господин? 
Сыҷкәын иҭахызар бара быҟалара аҳәынҭқарра аныҟәгара, сара сынԥслак ашьҭахь, 	Если он хочет, чтобы его королева правила, когда меня не станет, 
Нас баанха, егьи иҵала сбыҳәоит. 	тогда оставайся и учись, будь добра. 
Аамсҭцәа. 	Дворяне. 
Аамсҭцәа – ацаԥха Шаҭладиа агәашәахь. 	Дворяне - ключ к двери Шотландии. 
Ирышәҭ ҳаамсҭцәа ашхаратәи адгьылқәа 	Дать нашим дворянам землю в Шотландии. 
Насгьы дара раамсҭцәа ирышәҭа абра Англиа аҟны. 	Дать их знати поместья здесь, в Англии. 
Раҳарамра, иднарҟаҵом ҳара ҳҿагылара. 	И они из-за жадности не смогут противостоять нам. 
Шәхаҵкы,ҳара ҳамсҭцәа иқәҵны ацара рҭаххаӡом. 	Но, сэр, наши дворяне не охотно будут переселяться. 
Адгьыл ҿыцқәа, аналог ҿыцқәа. 	Новые земли - значит новые налоги, 
Дара иршәахьеит, Франциа аибашьразы 	а мы уже взимали дань на войну с Францией. 
Абасоуп, 	Правда? 
ишыҟоу, унан! 	Правда? 
Сара стәала Шотландиа 	Проблема в Шотландии - 
иҟәоуп ирацәаны Шотландцәа. 	то, что там полно шотландцев. 
