Аԥсны Аҳәынҭқарра Аҭаацәаратә Закәанеидкыла	Семейный кодекс республики абхазия
I Аҟәша. Азеиԥш ҭагылазаарақәа	Раздел  I. Общие положения
Ахы. Аҭаацәаратә закәанԥҵара	Глава 1. Семейное законодательство
Аҭаацәаратә закәанԥҵара ихадароу апринципқәа (акәамаҵамарақәа)	Основные принципы семейного законодательства
Аҭаацәаратә закәанԥҵара иҭышәыннартәало аизыҟазаашьақәа	Отношения, регулируемые семейным законодательством
Аҭаацәа реизыҟазаашьа ҭышәнзыртәало Аԥсны Аҳәынҭқарра закәанԥҵара	Законодательство Республики Абхазия, регулирующее семейные отношения
Аҭаацәа реизыҟазаашьаҿы атәылауаҩратә закәанԥҵара ахархәара	Применение к семейным отношениям гражданского законодательства
Аҭаацәаратә еизыҟазаашьаҿы аҭаацәаратә закәанԥҵареи атәылауаҩратә закәанԥҵареи еиԥшрала ахархәара	Применение семейного законодательства и гражданского законодательства к семейным отношениям по аналогии
2 Ахы. Аҭаацәаратә зинқәа рыхьчареи рынагӡареи	Глава 2. Осуществление и защита семейных прав
Аҭаацәаратә зинқәеи аҭаацәаратә хыдҵақәеи рынагӡара	Осуществление семейных прав и исполнение семейных обязанностей
Аҭаацәара алахәылацәа рзинқәа рыхьчара	Защита прав членов семьи
Аҭаацәа реизыҟазаашьаҿ азыҳәаратә ҿҳәара ахархәара	Применение исковой давности в семейных отношениях
II. Аҟәша. Аиԥшәмара аԥҵареи аԥыхреи	Раздел II. Заключение и прекращение брака
3 Ахы. Аиԥшәмара аԥҵара аҭагылазаашьеи, аԥҟареи	Глава 3. Условия и порядок заключения брака
Аиԥшәмара абжьаҵара	Заключение брака
Аиԥшәымара абжьаҵара аԥҟарақәа	Порядок заключения брака
Аиԥшәымара абжьаҵара аҭагылазаарақәа	Условия заключения брака
Аиԥшәмахаразы иахәҭоу ақәра	Брачный возраст
Аиԥшәымахара иаԥырхагоу аҭагылазаарақәа	Обстоятельства, препятствующие заключению брака
Аиԥшәымахара зҭаху аҳақьымтәҭҵаара рахысра	Медицинское обследование лиц, вступающих в  брак
Ахы. Аиԥшәымара аԥыхра	Глава 4. Прекращение брака
Амзызқәа: еиԥшәмацәоу ахаҵеи аԥҳәыси руаӡәык иԥсра; дыԥсит ҳәа мамзаргьы дыбжьаӡит ҳәа рылаҳәара рыла аиԥшәымара аԥыхра	Прекращение брака вследствие смерти супруга (супруги) и объявление его (ее) умершим (умершей) или безвестно отсутствующим одного из них
Аиԥшәмара аԥыхра	Расторжение брака
Аиԥшәымара аԥыхшьа аԥҟарақәа	Порядок расторжения  брака
Атәылауаҩратә ҭагылазаашьазы актқәа рҭаҩырҭа аусбарҭа аҿы аиԥшәымара аԥыхра	Расторжение брака в органах записи актов гражданского состояния
Атәылауаҩратә ҭагылазаашьазы актқәа рҭаҩырҭа аусбарҭа аҿы аиԥшәымара аԥыхра аан ицәырҵуа аимакқәа реилыргара	Рассмотрение споров, возникающих между супругами при расторжении брака в органах записи актов гражданского состояния
Аиԥшәымара аӡбара аԥҟара ала аԥыхра	Расторжение брака в судебном порядке
Еилыҵуа аиԥшәымацәа руаӡәык аилыҵра данақәшаҳаҭым аиԥшәымара аӡбарҭа ала аԥыхра	Расторжение брака в судебном порядке при отсутствии согласия одного из супругов  на  расторжение брака
Даҽа мызқәак шьаҭас (ҵаҵӷәыс) иаҭаны аӡбара ала аиԥшәымара аԥыхра	Расторжение брака в судебном порядке по иным основаниям
Аӡбарҭа ала аԥшәмара аԥыхра азы азыӡба анаднакыло иҭҵаатәу азҵаарақәа	Вопросы, разрешаемые судом при вынесении решения о расторжении брака
