аҿатә уасиаҭ	новый завет
Матфеи иҟнытә ажәабжь бзиа	евангелие от Матфея
Марк иҟнытә ажәабжь бзиа	евангелие от Марка
Лука иҟнытә ажәабжь бзиа	евангелие от Луки
Иоанн иҟнытә ажәабжь бзиа	евагелие от Иоанна
апостол цқьацәа русқәа	деяние святых апостолов
Иаков ирзишьҭыз ашәҟәы	послание Иакова
Пиотр ирзишьҭыз актәи ашәҟәы	первое послание Петра
Пиотр ирзишьҭыз аҩбатәи ашәҟәы	второе послание Петра
Иоанн ирзишьҭыз актәи ашәҟәы	первое послание Иоанна
Иоанн ирзишьҭыз аҩбатәи ашәҟәы	второе послание Иоана
Иоанн ирзишьҭыз ахԥатәи ашәҟәы	третье послание Иоана
Иуда ирзишьҭыз ашәҟәы	послание Иуды
Римаа ирзышьҭу ашәҟәы	послание к Римлянам
Коринфаа ирзышьҭу актәи ашәҟәы	первое послание к Коринфянам
Коринфаа ирзышьҭу аҩбатәи ашәҟәы	второе послание к Коринфянам
Галаҭаа ирзышьҭу ашәҟәы	послание к Галатам
Ефесаа ирзышьҭу ашәҟәы	послание к Ефесянам
Филиппаа ирзышьҭу ашәҟәы	послание к Филиппийцам
Кәаласаа ирзышьҭу ашәҟәы	послание к Колоссянам
Фессалоникаа ирзышьҭу актәи ашәҟәы	первое послание к Фессалоникийцам
Фессалоникаа ирзышьҭу аҩбатәи ашәҟәы	второе послание к Фессалоникийцам
Тимофеи изышьҭу актәи ашәҟәы	первое послание к Тимофею
Тимофеи изышьҭу аҩбатәи ашәҟәы	второе послание к Тимофею
Тит изышьҭу ашәҟәы	послание к Титу
Филимон изышьҭу ашәҟәы	послание к Филимону
ауриацәа ирзышьҭу ашәҟәы	послание к Евреям
анцәа иуазҳәаҩ Иоанн ацқьа изаатыз	откровение Иоанна богослова
Матфеи иҟнытә ажәабжь бзиа	евангелие от Матфея
Иисус Христос, Давид Иԥа, Авраам Иԥа, ишьҭра шәҟәы.	Родословие Иисуса Христа, Сына Давидова, Сына Авраамова.
Авраам дихшеит Исаак, Исаак дихшеит Иаков, Иаков ихшеит Иудеи уи иашьцәеи,	Авраам родил Исаака, Исаак родил Иакова, Иаков родил Иуду и братьев его,
Иуда ихшеит Фареси Зареи, Фамара лахьтә, Фарес дихшеит Есром, Есром дихшеит Арам,	Иуда родил Фареса и Зару от Фамари, Фарес родил Есрома, Есром родил Арама,
Арам дихшеит Аминадав, Аминадав дихшеит Наасон, Наасон дихшеит Салмон,	Арам родил Аминадава, Аминадав родил Наассона, Наассон родил Салмона,
Салмон дихшеит Вооз, Рахава лахьтә, Вооз дихшеит Овид, Руф лахьтә, Овид дихшеит Иессеи,	Салмон родил Вооза от Рахавы, Вооз родил Овида от Руфи, Овид родил Иессея,
Иессеи дихшеит аҳ Давид, аҳ Давид дихшеит Соломон, Уриа имаз лахьтә,	Иессей родил Давида царя, Давид царь родил Соломона от бывшей за Уриею,
Соломон дихшеит Ровоам, Ровоам дихшеит Авиа, Авиа дихшеит Аса,	Соломон родил Ровоама, Ровоам родил Авию, Авия родил Асу,
Аса дихшеит Иосафат, Иосафат дихшеит Иорам, Иорам дихшеит Озиа,	Аса родил Иосафата, Иосафат родил Иорама, Иорам родил Озию,
Озиа дихшеит Иоафам, Иоафам дихшеит Ахаз, Ахаз дихшеит Езекиа,	Озия родил Иоафама, Иоафам родил Ахаза, Ахаз родил Езекию,
Езекиа дихшеит Манассиа, Манассиа дихшеит Амон, Амон дихшеит Иосиа,	Езекия родил Манассию, Манассия родил Амона, Амон родил Иосию,
Иосиа дихшеит Иоаким, Иоаким ихшеит Иехониеи уи иашьцәеи, Вавилонҟа ианхыҵшаз аламҭалазы.	Иосия родил Иоакима, Иоаким родил Иехонию и братьев его, перед переселением в Вавилон.
Вавилонҟа ианхыҵ Иехониа дихшеит Салафиил, Салафиил дихшеит Зоровавел,	По переселении же в Вавилон, Иехония родил Салафииля, Салафииль родил Зоровавеля,
Зоровавел дихшеит Евиуд, Евиуд дихшеит Елаким, Елаким дихшеит Азор,	Зоровавель родил Авиуда, Авиуд родил Елиакима, Елиаким родил Азора,
Азор дихшеит Садок, Садок дихшеит Ахим, Ахим дихшеит Елиуд,	Азор родил Садока, Садок родил Ахима, Ахим родил Елиуда,
Елиуд дихшеит Елеазар, Елеазар дихшеит Матфан, Матфан дихшеит Иаков,	Елиуд родил Елеазара, Елеазар родил Матфана, Матфан родил Иакова,
Иаков дихшеит Иосиф, Иисус Христос ҳәа изыԥхьауаз дзыхшаз Мариа лхаҵа.	Иаков родил Иосифа, мужа Марии, от Которой родился Иисус, называемый Христос.
Абасала, Авраам инаиркны Давид иҟынӡа жәиԥшь абиԥара, Давид инаиркны Вавилонҟа иахыҵаанӡа жәиԥшь абиԥара. Вавилонҟа ианахыҵ инаркны Христос иҟынӡа жәиԥшь абиԥара.	Итак всех родов от Авраама до Давида четырнадцать родов, и от Давида до переселения в Вавилон четырнадцать родов, и от переселения в Вавилон до Христа четырнадцать родов.
Иисус Христос иира ҟалеит абас: Иара Иан Мариа Иосиф данизҳәаха, рҽеидыркылаанӡа Аԥсы Цқьа ила лцәа лтәымкәа дшыҟаз ааԥшит.	Рождество Иисуса Христа было так: по обручении Матери Его Марии с Иосифом, прежде нежели сочетались они, оказалось, что Она имеет во чреве от Духа Святаго.
Лхаҵа Иосиф, ииаша-ҵабыргыз уаҩын, убри аҟнытә дызлаҟаз мырзакәа доуишьҭырц иақәикит.	Иосиф же муж Ее, будучи праведен и не желая огласить Ее, хотел тайно отпустить Ее.
Аха иара абас хәыцны ианимаз аамҭазы, ԥхыӡла Иҳақәиҭу Имаалықь иеиҳәоит: Иосиф, Давид-иԥа! уԥҳәыс Мариа лыдкылара уацәымшәан, избан акәзар лцәа иалоу Аԥсы Цқьа ила ауп дышлымоу,	Но когда он помыслил это, се, Ангел Господень явился ему во сне и сказал: Иосиф, сын Давидов! не бойся принять Марию, жену твою, ибо родившееся в Ней есть от Духа Святаго,
Дылхылҵуеит Аԥа, хьӡысгьы иуҭоит: Иисус, Уи Иара ижәлар зҵоу агәнаҳарақәа рхихуеит.	родит же Сына, и наречешь Ему имя Иисус, ибо Он спасет людей Своих от грехов их.
Абри зегьы ҟалеит Иҳақәиҭу иҟнытә аԥааимбар ила иҳәаз наӡахаразы, уи иҳәоит:	А все сие произошло, да сбудется реченное Господом через пророка, который говорит:
Абри аԥҳәызба лцәа далашәеит, дагьлыхшоит Аԥа, иагьихьӡыртәуеит Иара: Еммануил, иаанагоит: Анцәа дҳацҟоуп.	се, Дева во чреве приимет и родит Сына, и нарекут имя Ему Еммануил, что значит: с нами Бог.
Иосиф ацәа даналҵ, Иҳақәиҭу Имаалықь ишиеиҳәаз ала дныҟәеит, иԥҳәыс дидикылт,	Встав от сна, Иосиф поступил, как повелел ему Ангел Господень, и принял жену свою,
Иҽылзааигәеимтәит, ус, аҵыхәтәан, Лԥа, аԥхьахшаа, длоуит, хьӡысгьы ииҭеит: Иисус.	и не знал Ее. Как наконец Она родила Сына Своего первенца, и он нарек Ему имя: Иисус.
Аҳ Ирод ихаан Иудеиатә Вифлеем аҿы Иисус даниы, мрагыларахьтәи адырҩцәа Иерусалим иаҭааит, абасгьы рҳәоит:	Когда же Иисус родился в Вифлееме Иудейском во дни царя Ирода, пришли в Иерусалим волхвы с востока и говорят:
Дабаҟоу ииз идуеиаа раҳ? Ҳарҭ амрагыларахь уи иеҵәахә ҳбон, ҳааит Иара ҳиеихырхәаразы.	где родившийся Царь Иудейский? ибо мы видели звезду Его на востоке и пришли поклониться Ему.
