Их ду беиа абара ҟазшьас иахьимаз анаҩсангьы, илан аҟыԥҳәа улаԥш иҵа шәашаз аха маԥагьара, ари иалнаршоит иҟауҵо зеиԥшразаалакь, ҽаӡә иҟаиҵаз ак аиԥш, хьаҳәԥаҳәрада адкылара, иҟа лап уи зырҿио ииашаҵәҟьан ауаҩ илоу џьшьа дзықәгәыӷуа аԥыжәаратә цәанырра акәзар. Салам шәҟәык аҟнытә(афранцыз бызшәахьтә)	сверх того еще особенной гордостью, которая побуждает признаться с оди наковым Проникнутый тщеславием, он обладал равнодушием в своих как добрых, так и дурных поступках, — след ствие чувства превосходства, быть может мнимого. Из частного письма (фр.)
Ауаа хгылақәарз гәмырҿыӷьгас Сара сашьҭам иҟаларц, Исҭахын, ҳҩызара иаҳамҭаз, Уҿаԥхьа ицәырызгарц, иубарц Иуаҭәоу аиҳаҵәҟьагь инагоу, Гәыла-ԥсыла иԥшьоу уара, Зхәыцреи знаалашьеи хьӡырҳәагоу, Иҭәу поезиала зхаҿра; Исылшаз ауп, абраҟа иеизгоу, Иудкыл иеилыӷраау ахқәа, Зыбжа лафу, зыбжа гәхьаау, Ахархь уаа ражәа аҟнытә исҭаау Схәыцра хыҭҟьа алҵшәақәа, — Амыцәареи агәаҳәа кьаҿқәеи, Ишәымыз ашықәсқәа, иканӡаз, Ахшыҩ хьшәашәеи агә агәаҟреи Рымҩа иацыз, ирыхшаз.	Не мысля гордый свет забавить, Вниманье дружбы возлюбя, Хотел бы я тебе представить Залог достойнее тебя, Достойнее души прекрасной, Святой исполненной мечты, Поэзии живой и ясной, Высоких дум и простоты; Но так и быть — рукой пристрастной Прими собранье пестрых глав, Полусмешных, полупечальных, Простонародных, идеальных, Небрежный плод моих забав, Бессонниц, легких вдохновений, Незрелых и увядших лет, Ума холодных наблюдений И сердца горестных замет.
Зегьы дрыхьӡарц, инырырц иҭахуп. Аҭауад Виаземски.	И жить торопится и чувствовать спешит. Кн. Вяземский.
«Саб иашьа, зламыс хьӡырҳәагаз, Ачымазара данакы, Ахылаԥшра иҭаххеит инагаз, Изымхәыцт иеиӷьыз даҽакы. Ихҭыс шьоук рзы иҿырԥшыгоуп: Аха, анцәиныс, игәыԥҵәагоуп, Шьаҿак уааидымшәо џьара Ачымазаҩ иҷаԥшьара! Изакә гьангьашроузеи, ҵаны, Аарла ишьҭоу игәы аҭгара, Ихчы арманшәалара, иркра Ихәшәқәа, улахь еиқәҵаны; Уқәыԥсычҳауа угәы аҭҵаара: «Уанбеигои аҩсҭаа уара?»	«Мой дядя самых честных правил, Когда не в шутку занемог, Он уважать себя заставил И лучше выдумать не мог. Его пример другим наука; Но, боже мой, какая скука С больным сидеть и день и ночь, Не отходя ни шагу прочь! Какое низкое коварство Полуживого забавлять, Ему подушки поправлять, Печально подносить лекарство, Вздыхать и думать про себя: Когда же черт возьмет тебя!»
Ҽыуардынла ицоз ццакрала Дхәыцуан арԥыс-хыҭҟьа абас: Жәҩанахьтә Зевс игәаԥхарала Шьҭрала амал рацәа зыхәҭаз; Лиудмилеи нас Руслани рҩызцәа! Хара ҳамца, иара абраҵәҟьа, Азин сымазааит сара Сфырхаҵа иӡбахә аҳәара: Онегин, сара сҩыза гәакьа, Диит иахьымҩасуа Нева, Иҟалап уизар ухаҭагь уа, Саԥхьаҩ, ма уҽырбозҭгьы анкьа; Снеи-ҩеилон ԥаса саргь убра: Аха аҩада сзеицәоуп сара.	Так думал молодой повеса, Летя в пыли на почтовых, Всевышней волею Зевеса Наследник всех своих родных. Друзья Людмилы и Руслана! С героем моего романа Без предисловий, сей же час Позвольте познакомить вас: Онегин, добрый мой приятель, Родился на брегах Невы, Где, может быть, родились вы Или блистали, мой читатель; Там некогда гулял и я: Но вреден север для меня.
Рҵыхәа ԥҵәомызт иаб иуалқәа, Акы агызмыжьуаз змаҵура; Ириҭон хынтә шықәсык абалқәа, Аҵыхәтәан дагьцәҳәит иара. Деиқәшәан Евгени лахьынҵала: Дицын Madame хаҭала, Лнаҩс — Monsieur дизкын. Ахәҷы дласцәазаргьы, дгәыкын. Афранцыз Monsieur l’Abbè — рыцҳа Уи диргәаҟцәар ҳәа дицәшәон, Дызхысуаз хәмаршақәшәа иирҵон, Уаҩҵас ак иабжьигомызт уаҳа. Иахирҟьар — диабжьа диршәалон, Нас Аԥхын баҳчахь дигалон.	Служив отлично-благородно, Долгами жил его отец, Давал три бала ежегодно И промотался наконец. Судьба Евгения хранила: Сперва Madame за ним ходила, Потом Monsieur ее сменил. Ребенок был резов, но мил. Monsieur l’Abbè француз убогий, Чтоб не измучилось дитя, Учил его всему шутя, Не докучал моралью строгой, Слегка за шалости бранил И в Летний сад гулять водил.
Ус, алеишәа ҷыда мыхьтәха, Евгени иҷкәынра анихьӡа, Игәыӷреи игәҭыхақәеи анҿыха, Mоnsier дыԥхарҵеит хараӡа. Абар с-Онегин ихы дақәиҭуп, Ихы аҵырффашьа — мода ҿыцуп, Dandy Лондонтәи ихаҭа: Инагоу рышҟа дцәырҵит шьҭа!.. Ишиҭахыз францыз бызшәала Уи дагьаԥхьон, дагьыҩуан, Деиламс мазурка дкәашауан, Дхырхәауан, ишаҭәаз ала, Уаҳа ишәҭахи? Иеилкаауп, Уи дагьҟәышуп, дагьуаҩхаауп.	Когда же юности мятежной Пришла Евгению пора, Пора надежд и грусти нежной, Mоnsier прогнали со двора. Вот мой Онегин на свободе; Острижен по последней моде, Как dandy лондонский одет — И наконец увидел свет. Он по-французски совершенно Мог изъясняться и писал; Легко мазурку танцевал И кланялся непринужденно; Чего ж вам больше? Свет решил, Что он умен и очень мил.
Иҳалшоз ала, зны аамҭала Ҵара ԥыҭк ҳҵақәеит зегьы Ҳа ҳаҩнуҵҟа уажә уиала Имариоуп ахӡыргара уеизгьы. Шьардаҩык ртәала, Онегин: (Аӡбаҩ џьбарацәа еицҿакын) Дызлаз дреиԥшӡамызт зынӡа. Дызлаҟаз рахь ишәыԥхьаӡа: Ауаа анцәажәоз, имырхьаа, Аума здыруаз иеиԥш иаргьы Маҷ-маҷ дрыхцәажәауан зегьы, Ажәак иҳәомызт аимак аан: Илаф, ицәырҟьауаз, мцашәа, Иарччон аҳәса уамашәа!..	Мы все учились понемногу Чему-нибудь и как-нибудь, Так воспитаньем, слава богу, У нас немудрено блеснуть. Онегин был, по мненью многих (Судей решительных и строгих), Ученый малый, но педант, Имел он счастливый талант Без принужденья в разговоре Коснуться до всего слегка, С ученым видом знатока Хранить молчанье в важном споре И возбуждать улыбку дам Огнем нежданных эпиграмм.
Алатын амода цеит иахьала, Аха имӡакәа аиаша ҳҳәар, Илшон уи лаҭын бызшәала Аепиграфқәа еилиргар; Иувенал дихцәажәар кыр, Ишәҟәы анҵәамҭаҿ vale иҩыр, Иԥсыҽны игәалашәон џьарак Енеидахьтә цәаҳәақәак. Иҭахымызт аханатә Зсаба шьҭыҩҩы ицо хара Ажәытә ҭоурыхқәа рыртытра, Аха игәалашәон наџьнатә — Ромул ихаан инаркны Анекдотқәа ирҳәахьоу еизганы.	Латынь из моды вышла ныне: Так, если правду вам сказать, Он знал довольно по-латыне, Чтоб эпиграфы разбирать, Потолковать об Ювенале, В конце письма поставить vale Да помнил, хоть не без греха, Из Энеиды два стиха. Он рыться не имел охоты В хронологической пыли Бытописания земли; Но дней минувших анекдоты От Ромула до наших дней Хранил он в памяти своей.
Игәазырҳагоу ацәанырра Апоезиахь имамызт иҭәны: Иамб хореи иналкаа адырра Илымшацызт знымзар-зны. Ицҟьон Гомери Феокрити Аха диԥхьон Адам Смит уи: Акыр здыруа економистын. Иаҳҳәап, далацәажәон дасны: Излабеиахо аҳәынҭқарра, Ҿиашьас иамоу, иара убас, Ахьы шаҭахым зынӡас, Афатә-ажәтә ианақәым ӷарра!.. Иаб изымдырит дзакәыз, Ириҭон идгьылқәа ус-ӡыс.	Высокой страсти не имея Для звуков жизни не щадить, Не мог он ямба от хорея, Как мы ни бились, отличить. Бранил Гомера, Феокрита; Зато читал Адама Смита И был глубокий эконом, То есть умел судить о том, Как государство богатеет, И чем живет, и почему Не нужно золота ему, Когда простой продукт имеет. Отец понять его не мог И земли отдавал в залог.
