Сара сҭоурых.	Моя история.
Сара саԥсыуоуп.	Я абхаз.
Инал сыхьӡуп.	Зовут меня Инал.
С-Маршьануп.	Фамилия моя Маршан.
Маршьан сыжәлоуп.	Фамилия моя Маршан.
Аԥсны сынхоит, Аҟәа ақалақь аҟны.	Живу в Абхазии, в городе Сухум.
Сҭаацәа ара иҟоуп: сан, саб, санду, сабду, сашьа, саҳәшьа.	Моя семья живут здесь: мать, отец, бабушка, дедеушка, брат, сестра.
Сара аԥсуа бызшәеи аурыс бызшәеи аҵара саҿуп.	Я изучаю абхазский язык и русский язык.
Шәеибадыруаз, ари сашьа Саид иоуп.	Знакомьтесь, это мой брат Саид.
Саидгьы аԥсшәа аҵара даҿуп.	Саид тоже изучает абхазский язык.
Ари саҳәшьа лоуп.	Это моя сестра.
Сандра лыхьӡуп.	Зовут ее Сандра.
Ашкол дҭоуп.	Она учится в школе.
Саб Ҳаџьмаф ихьӡуп.	Моего отца зовут Хаджмаф.
Дынџьныруп.	Он инженер.
Сан д-Гьечԥҳауп.	Моя мама Гечба.
Дырҵаҩуп.	Она преподаватель.
Уажәы лара аҩны дыҟоуп, аус луӡом.	Сейчас она дома, она не работает.
Шьыжьхьаан.	Во время завтрака.
Сара ашьыжь ақашь сфоит, ачаи ма ахш зжәуеит, насгьы ача ахәша ахьшьны исфоит.	Утром я ем кашу, пью чай или молоко, а еще я ем хлеб с маслом.
Саҳәшьа ацха бзиа илбоит, иара убас акәтаӷь жәны, ашә.	Моя сестра любит мед, а также яйцо вареное, сыр.
Сашьеиҵбы ашьыжь акрыфара бзиа ибаӡом азы ашкол аҿы акрифоит.	Мой младший брат не любит завтракать и поэтому ест в школе.
Иара ацха бзиа ибаӡом, ахәшагьы бзиа ибаӡом азы ачаи ижәуеит, аҭоубари ачеи ифоит, акакао ижәуеит.	Так как он не любит мед, не любит сливочное масло и пьет чай, ест колбасу с хлебом, пьет какао.
Ибзианы акрумфар, иузҳаӡом, сан лҳәоит.	Если не будешь хорошо есть, не вырастешь большим, моя мама говорит.
Иара дкьаҿӡам, аха игуп.	Он ростом не маленький, но худенький.
noise Саҳәшьеиҳабы акрыфара бзиа илбоит азы ашьыжь заа дгыланы акрылфоит.	noise Так как у старшей сестры хороший аппетит она встает рано и завтракает.
noise Уи сан акрылфацәар лҭахӡам, ибыцлацәеит ҳәа лалҳәоит.	noise Мама не желает, чтобы она переедала, говорит, что она сильно пополнела.
Аҭыԥҳа деиҿкаазароуп, деинаалан дыҟазароуп, ҳәа илыԥхьаӡоит.	Девушка должна быть стройной, худенькой, она считает.
Сара Москватәи сааит.	Я приехал из Москвы.
Сара ԥхынгәы мза 3 1990 шықәсазы Москва сиит.	Я родился 3 июля 1990 года в Москве.
Егьырҭ ахәыҷқәа реиԥш, саргьы ахәыҷбаҳчахь сныҟәон.	Как другие дети, и я ходил в детский сад.
Быжьшықәса анысхыҵуаз, ашкол сҭалеит.	Когда мне исполнилось семь лет, я пошел в школу.
noise Даара сеигәырӷьон ашкол сахьҭалаз.	noise Я очень гордился тем, что стал школьником.
Сышкол ҳаҩны иазааигәаны иҟан.	Моя школа находилась рядом с нашим домом.
Аиҵбыратәи ашкол иҭаз ахәыҷқәа аӡәырҩы сгәылара инхон.	Ученики нашей начальной школы многие были моими соседями.
Шыжьла ҳара ҳаицны ашкол ахь ҳцеит.	По утрам мы вместе шли в школу.
Аха сара хара имгакәа иеилыскааит, ари шыхәмаррамыз, сҭаацәа сыргәырӷьларац азы, ирацәаны аԥхьара шаҭахыз.	Но очень скоро я понял, что это не игра, чтобы мои родители были довольны мной, нужно много читать.
Аҵара ашықәсқәа даара лассы имҩасит, шьҭа иеилыскаауеит, ари зны-зынла сара ишсылшоз, аха иансылымшозгьы шыҟаз.	Учебные годы прошли очень быстро, а теперь понимаю, что иногда это у меня получалось, но было когда и не получалось.
Сара аҩызцәа рацәаны исыман Москва, аха урҭ зегьы урысшәалоуп ишцәажәоз.	У меня было много друзей в Москве, но они все говорили по-русски.
