Ҳаҭыр зқәу Рауль Џьумка-иԥа!	Уважаемый Рауль Джумкович!
Ишәзынаҳашьҭуеит 2019 шықәса хәажәкырамза 20 рзы Аԥсны Жәлар Реизара – Апарламент асессиа аилатәараҿы ирыдыркылаз азакәанқәа, азакәанқәа рыпроектқәа, ақәҵарақәа:	Пересылаем Вам принятые Народным Собранием – Парламентом Республики Абхазия на заседании сессии 20 марта 2019 года законы, проекты законов и постановления:
«Аԥсны Аҳәынҭқарра Жәларбжьаратәи аиқәшаҳаҭрақәа рзы» Аԥсны Аҳәынҭқарра Азакәан аԥсахрақәа ралагаларазы» Аԥсны Аҳәынҭқарра Азакәан  азы» Аԥсны Жәлар Реизара – Апарламент Ақәҵара.	Постановление Народного Собрания – Парламента Республики Абхазия «О Законе Республики Абхазия «О внесении изменений в Закон Республики Абхазия «О международных договорах Республики Абхазия».
«Административтә зинеилагарақәа русхк аҟны Аԥсны Аҳәынҭқарра азакәанԥҵаратә актқәак аԥсахрақәа ралагаларазы»  Аԥсны Жәлар Реизара – Апарламент Ақәҵара.	Постановление Народного Собрания – Парламента Республики Абхазия «О внесении изменений в некоторые законодательные акты Республики Абхазия в сфере административных правонарушений».
«Ахылаԥшрадареи зықәранаӡам рзинеилагарақәеи рыпрофилактика асистема ашьаҭақәа рзы» Аԥсны Аҳәынҭқарра Азакәан азы» Аԥсны Жәлар Реизара – Апарламент Ақәҵара.	Постановление Народного Собрания – Парламента Республики Абхазия «О Законе Республики Абхазия «Об основах системы профилактики безнадзорности и правонарушений несовершеннолетних».
«Аԥсны Аҳәынҭқарра азакәанԥҵаратә актқәак аԥсахрақәа ралагаларазы» Аԥсны Аҳәынҭқарра Азакәан азы» Аԥсны Жәлар Реизара – Апарламент Ақәҵара.	Постановление Народного Собрания – Парламента Республики Абхазия «О Законе Республики Абхазия «О внесении изменений в некоторые законодательные акты Республики Абхазия».
«Аҳәынҭқарратә ҳазазы» Аԥсны Аҳәынҭқарра Азакәан аԥсахрақәа ралагаларазы» Аԥсны Аҳәынҭқарра Азакәан азы» Аԥсны Жәлар Реизара – Апарламент Ақәҵара.	Постановление Народного Собрания – Парламента Республики Абхазия «О Законе Республики Абхазия «О внесении изменений в Закон Республики Абхазия «О государственной пошлине».
«Аԥсны Аҳәынҭқарра Ашьаустә Закәанеидкылаҟны аԥсахрақәа ралагаларазы» Аԥсны Аҳәынҭқарра Азакәан  апроект № 862-VI азы» Аԥсны Жәлар Реизара – Апарламент Ақәҵара.	Постановление Народного Собрания – Парламента Республики Абхазия «О проекте № 862-VI Закона Республики Абхазия «О внесении изменений в Уголовный Кодекс Республики Абхазия».
«Анагӡаратә усеиҿкааразы» Аԥсны Аҳәынҭқарра Азакәан аԥсахрақәа ралагаларазы» Аԥсны Аҳәынҭқарра Азакәан апроект № 893-VI азы» Аԥсны Жәлар Реизара – Апарламент Ақәҵара.	Постановление Народного Собрания – Парламента Республики Абхазия «О проекте № 893-VI Закона Республики Абхазия «О внесении изменений в Закон Республики Абхазия «Об исполнительном производстве».
«Аԥсны Аҳәынҭқарраҟны ауаҩы изинқәа рзы Амчнаӡазмоу и-Аппарат 2019 ш. абиуџьеттә харџьынҵа ашьақәыргыларазы» Аԥсны Жәлар Реизара – Апарламент Ақәҵара.	Постановление Народного Собрания – Парламента Республики Абхазия «Об определении бюджетной сметы Аппарата Уполномоченного по правам человека в Республике Абхазия на 2019 год».
«Аԥсны Аҳәынҭқарра адгьылҵакыраҟны арацәаӡритә аӡа агеологиатә ҭҵаареи, аԥшыхәреи, аҵхреи ирымоу аекономикатә хаҳареи аекологиатә шәарҭадареи рыҭҵаара иазку Акомиссиа аԥҵаразы» Аԥсны Жәлар Реизара – Апарламент Ақәҵара.	Постановление Народного Собрания – Парламента Республики Абхазия «О создании Комиссии по изучению вопроса экономической эффективности и экологической безопасности геологического изучения, разведки и добычи углеводородного сырья на территории Республики Абхазия».
Аԥсны Жәлар Реизара – Апарламент	Народного собрания – парламента республики абхазия
Ақәҵара	Постановление
Аԥсны Аҳәынҭқарра адгьылҵакыраҟны арацәаӡритә аӡа агеологиатә ҭҵаареи, аԥшыхәреи, аҵхреи ирымоу аекономикатә хаҳареи аекологиатә шәарҭадареи рыҭҵаара иазку Акомиссиа аԥҵаразы	О создании Комиссии по изучению вопроса экономической эффективности и экологической безопасности геологического изучения, разведки и добычи углеводородного сырья на территории Республики Абхазия
Аԥсны Жәлар Реизара – Апарламент Аԥҟара ахәҭаҷ 19 ахәҭа 3 шьаҭас иҟаҵаны,	На основании части 3 статьи 19 Регламента Народного Собрания – Парламента Республики Абхазия
иақәнаҵоит:	постановляет:
Иаԥҵазааит Аԥсны Аҳәынҭқарра адгьылҵакыраҟны арацәаӡритә аӡа агеологиатә ҭҵаареи, аԥшыхәреи, аҵхреи ирымоу аекономикатә хаҳареи аекологиатә шәарҭадареи рыҭҵаара иазку Аԥсны Жәлар Реизара – Апарламент Акомиссиа абри аилазаарала:	Образовать Комиссию Народного Собрания – Парламента Республики Абхазия по изучению вопроса экономической эффективности и экологической безопасности геологического изучения, разведки и добычи углеводородного сырья на территории Республики Абхазия в составе:
