%PRODUCTNAME аелектронтә ԥошьҭа азынашьҭрақәа рзы  аелектронтә ԥошьҭа архиарақәа аҭахуп.\n\n Иазшәырхиарц шәҭахума уи уажәы ?	Для рассылки электронной почты %PRODUCTNAME требуется действительная учётная запись.\n\nНастроить сейчас учётную запись электронной почты?
%PRODUCTNAME ақәыргылара	Установка %PRODUCTNAME
%PRODUCTNAME хархәаҩык иаҳасаб ала шәыҽҭашәыҩҩыр ҟалоит. Аҽҭаҩҩра хатәгәаԥхаралоуп хәдықәҵара ыҟаӡам	У вас есть возможность зарегистрироваться как пользователь %PRODUCTNAME. Регистрация добровольная и без обязательств.\n\nЕсли вы зарегистрируетесь, мы можем информировать Вас о новых разработках относительно этого продукта.
<wizard_name>  <current_date> ала аҟаза ахсаала аԥҵан	Шаблон создан мастером <wizard_name> в <current_date>.
ADO аимадара армазеира	Настройка соединения с ADO
dBase афаилқәа ахьыҵәаху аҭаӡ алышәх.	Выберите папку где хранятся файлы dBase.
DDE % ала аимадара аԥҵара ауам  % аҵакыра % ала.	Невозможно создать связь по DDE с % для % области %.
DEGREES(ACOT(1 )) returns 45. The tangent of 45 degrees is 1. 	\<item type=\"input\"\>=DEGREES(ACOT(1))\</item\> возвращает значение 45. Тангенс 45 градусов равен 1. 
FTP-апрокси ала акьыԥхьра аднакылом.	Публикация через FTP-прокси не поддерживается.
HTML иацааиуа	Совместимость с HTML
MySQ адыррақәа рышьаҭа ахьыӡ	Название базы данных MySQL
MySQL адырра ашьаҭа шәҽаԥышәшьырц шԥашәҭаху ?	Как вы хотите подключиться к базе данных MySQL?
ODBC ма JDBC шәхы иархәаны MySQL адыррақәа рышьаҭа шәамадахар ҟалоит\n Шәиамада шәасистематә администратор, архиарақәа рыгәра шәымгозар.	Вы можете подключиться к базе данных MySQL используя ODBC или JDBC.\nПожалуйста, свяжитесь с системным администратором, если не уверены в правильности настроек.
OLE азеиԥш гха	Общая ошибка OLE.
P~DF конвертор аҿакра	Подключение P~DF конвертера
PDF аҿакра ахьӡ алышәх	Введите имя подключения PDF
PDF конвертор	Конвертер PDF
Аанкыларҭа	Точка останова
Аанкыларҭақәа рнапхгара	Управление точками останова
Агҵәы Z...	Ось ~Z...
Аиасра	Переход
Аилкаагатә ID	ID Справки
Акаҭа хада агәҵәы ~Y...	Основная сетка оси ~Y...
Анагӡаратә индикатор	Индикатор выполнения
Аҭыԥ ихадоу ацапха	Поля первичного ключа
Аххәаа	Обзор...
Аххәаа	Обзор
Аҿакра ахкы аҽаԥсахит. \nАԥсахрақәа аус рурц азы, аформақша зегьы, аҳасабырбақәа, ашьҭаҵарақәеи аҭаӡҩырақәеи аркызароуп.\n\nАдокументқәа зегь ашәыркыр шәҭахума уажәы?	Изменился тип подключения.\nДля того, чтобы изменения вступили в силу, нужно закрыть все формы, отчёты, запросы и таблицы.\n\nХотите закрыть все документы сейчас?
Вставить закладку	Вставить закладку
Выберите команду \<emph\>Сервис - Автозамена - Завершение слов\</emph\>.  	 Выберите \<item type=\"menuitem\"\>Сервис – Параметры автозамены – Подстановка слов\</item\>. 
Гиперссылка (LS и LE)	 Гиперссылка (ГН и ГК)
еихагьежьуа ахәамц ахь	В тело вращения
Легенда	Легенда
Нажмите клавишу \<item type=\"keycode\"\>ВВОД\</item\>.	 Press Enter.
СУБД Oracle аиԥшьра архиара	Настройка соединения с СУБД Oracle
Шәааԥшы Windows [ProductName] архиаанӡа	Подождите пока Windows настраивает [ProductName]
- %PRODUCTNAME Base	 - %PRODUCTNAME Base
- 10 первых -	10 первых
- абӷьыц зегьы -	- весь лист -
- Адҵаалартә дизаинер %PRODUCTNAME Base	 - %PRODUCTNAME Base: конструктор запросов
- Апрограмматә хәдақәҵа ахархәаразы алицензиатә еқәшахаҭра	 - Лицензионное соглашение на использование программного обеспечения
- ахархәаратә -	- пользовательский -
- Ахархуаҩтә дыррақәа	- Пользовательские данные
- мап -	- нет -
- не определен -	- не определён -
- неопределен -	- неопределён -
- переместить в  конец -	- переместить в конец -
--	-
->	>
-3,48	-\<item type=\"input\"\>3,48\</item\>
-userid={user id}	-env
:	: 
...	~...
…	& или $0
... аҟынӡа	Перед
... аҟынӡа	До
... ашьақәыыргыларазы аинформациа аизгара	Сбор информации требуемой для установки...
... ашьҭахь	После
.... аҟынтә аиԥшымра	Отличие от
.... ахь аекспорт 	Экспорт в:
...ахь акопи ҟаҵара	Копировать в
...мацара иԥшаатәуп	Искать только в
'01/01/00'	'01/01/1900'
'01/01/04'	'01/01/1904'
'12/30/99'	'12/30/1899'
'Cancel' ends the Installation Wizard without installing this software.	«Отмена» прекратит работу мастера установки.
'Cancel' ends the Uninstallation Wizard without removing this software.	«Отмена» прекратит работу мастера удаления.
'XX' не был добавлен.	«XX» не был добавлен.
'XX' не может быть заменен.	«XX» не может быть заменён.
«$(ARG1)» афаил аиҭашьақәыргылареи аартреи иауӡом.	Файл «$(ARG1)» не может быть восстановлен и открыт.
(аҭаӡҩырҭа ада)	(без таблицы)
(еилыхрада);аизҳарала;аиҵахарала	(без сортировки);по возрастанию;по убыванию
(Иаҵаҩҩуп)	(Подписано)
(иҭацәуп)	(пусто)
(Функциа ада);Average;Count;Maximum;Minimum;Sum;Group	(без функции);Average;Count;Maximum;Minimum;Sum;Group
[*] акритери ҳасабла ахархәара иауӡом	Невозможно использовать [*] в качестве критерия.
[2] ашькәыргылара аамҭала иаанкылоуп. Ақыргылага иҟанаҵаз аԥсахрақәа мап рыцәктәуп. Аԥсахрақәа мап рыцәкра шәақшаҳаҭума?	Установка [2] приостановлена. Вы должны откатить изменения сделанные инсталлятором. Вы хотите откатить изменения?
