Апланета Адгьыл	ПЛАНЕТА ЗЕМЛя
Адгьыл анахыс иҟоу адунеи.	Мир за пределами суши. Океан.
Аокеан. Уи адгьыл аҿы - ҩыџьара ишаны х-хәҭак ааннакылоит.	Он покрывает две трети земной поверхности, при этом большая его часть
Убри аан, уи аиҳарак ахьыҟоу аҟынӡа ҳара ҳазнеиӡом.	для нас недосягаема.
Аокеан аиҳарак ҭацәуп.	Значительная часть океана совершенно пустынна.
Аокеан иҭоу аԥстәқәа рыԥсҭазаара есқьынгьы афатә аԥшаареи, иаарту аокеан аҿы рымчқәа реиқәырхареи роуп изызку.	Жизнь обитателей океана проходит в постоянных поисках пищи. И в борьбе за сохранение драгоценной энергии в открытом океане.
Аокеанқәа рыҵа	ОКЕАНсКИЕ ГЛУБИНЫ
Амҩаԥгаҩ Девид Аттенборо	ведущий ДЭВИД АТТЕНБОРО
Адунеи аҿы зегьы иреиҳау аԥсыӡ, 30 тонна акапануеит.	самая большая рыба в мире весом 30 тонн,
Аура 12 ыҟоуп.	длиной 12 метров.
Акиттә доурҳан.	Китовая акула.
Ари адоумбеи ԥстәы амшын организм ссақәа, апланктонқәа фатәыс иамоуп.	Это гигантское животное питается мельчайшими морскими организмами, планктоном.
Акиттә доурҳанқәа изышьцылоу, еиҳа афатә ахьыҟоу, аҭыԥқәа ирыбжьоуп есқьынгьы,	Китовые акулы курсируют по постоянным традиционным маршрутам между лучшими местами кормёжки.
Жәабран мзазы Венесуела аԥшаҳәа инацәыхараны, аӡы ахыхь иҟоу афатә ала рхы ныҟәыргоит.	В феврале они кормятся в поверхностных слоях воды, вдали от побережья Венесуэлы.
Егьырҭ аԥсыӡқәа арахь иаахьеит.	Другие рыбы уже здесь.
Аԥсыӡ гәыԥ дуқәа рҽеидкыланы изаауагьы абри апланктон азоуп.	Большие стаи приплывают сюда с той же целью, ради планктона.
Акиттә доурҳан аамҭа еиламгаӡакәа иааит.	Китовая акула прибыла точно по расписанию.
Иџьаушьаша, аԥсыӡ ссақәа акәшоит иара.	Как ни странно, мелкие рыбёшки сами окружают её.
Уи рҽаԥыракны рхы аларыхьчозаап.	На самом деле, они используют акулу как щит.
Ара зыԥсы цәгьоу агыгшәыг ԥсыӡқәа маҷӡам азы.	Ведь здесь много других хищных рыб.
Иаҳҳәап, атунԥсыӡ ҩеижь қәа, Урҭ ари адоумбеи иацәшәаны ааигәара инеиӡом.	Например, желтопёрые тунцы, они держатся от гиганта на расстоянии.
Иаалырҟьаны, адоурҳан аҵахь ицоит Иацу аԥсыӡқәа ирыцәцаразакәушәа.	Вдруг акула ныряет в глубину, как будто спасается оттолпы сопровождающих.
Атунӡпсыӡқәа шьҭа зхы ззымыхьчо аԥсыӡ гәыԥ ирыжәларазы аҭагылазаашьа бзиа аиуит.	Утунцов появляется шанс атаковать незащищённые стайки рыб.
Аха адоурҳан лассы игьежьуеит.	Но акула быстро возвращается.
Иара ахаҭа асаса ԥсыӡла ирҭәны иааит.	Она сама набрала полную пасть рыбы.
Акиттә доурҳан апланктон мацара акәӡамзаап фатәыс иамоу.	Видимо, китовая акула питается не только планктоном.
Шьҭа адоурҳангьы атунԥсыӡқәагьы еицчоит.	Теперь акула и тунцы пируют вместе.
Аха атунԥсыӡқәа.. ргәы рҽанызароуп.	Но тунцы должны быть осторожны.
Даргьы машәырны, акиттә доурҳанқәа ирҿыҵашәар алшоит.	Даже они могут нечаянно оказаться в желудке китовой акулы.
Ара, агыгшәыгқәа иаарымԥыхьашәаз, ианаарымԥыхьашәалак зегьы, имҵырԥааит ауп., избанзар абарақьаҭра аамҭа кьаҿуп.	Здесь хищники хватают всё, что могут, и когда могут. Ведь время изобилия продлится недолго.
Аԥсыӡ гәыԥ дуқәа аамҭа бзиак ааиаанӡа, шамахамзар, еизаӡом.	Большие стаи рыб, от которых зависит жизнь многих животных, собираются только при идеальных условиях.
Агыгшәыг ԥсыӡқәа реиҳарак, еилыс-ааилысуа, рыԥсҭазаара зегьы, ихту аокеан аҿы афатә ԥшаара иазкуп.	Многие хищники почти всю свою жизнь курсируют в открытом океане, в постоянных поисках пищи.
Аскат Амшын ла дуӡӡақәа апланктоноуп фатәыс иамоу,	Громадные скаты, питающиеся планктоном, легко скользят в толще воды.
Дара ӡыжәпара иалҵәраа ауп ишцо.	Океаническая длиннокрылая акула.
Аокеан доурҳан мҵәыжҩаду. Аригьы ишабалак аҽарааԥсаӡм, ахы даара иеиҷаҳауеит.	Она тоже тратит свою энергию очень экономно.
%ьабаа дук мбаӡакәа афатә аԥшаауеит, аокеан аҿы еиҳараӡак акгьы ахьыҟам аҭыԥқәа рыҟны, аӡы ахыхь 100 м –тәи ажәпараҿы, иԥшыхәуа мацара.	Эта акула без труда находит пищу в самых пустынных частях открытого океана, патрулируя верхние 100 метров толщи воды.
Аӡа агьама – аҳауаҿы афҩы уаҳа иаҩызоуп.	Вкус в воде - это эквивалент запаха в воздухе.
Адоурҳан мҵәыжәҩа ду иарбанзаалак аӡы агьама ҷыдак амазар, игәанамҭар ауӡом.	Длиннокрылая акула способна распознавать мельчайшие оттенки вкуса воды.
Адоурҳан иацуп алоцман хәыҷы.	Акулу сопровождают маленькие лоцманы.
Адоурҳан дара раасҭа иаҳа лассы афатә аԥшаауеит. Усҟан иара иацәынхо афатә алоцманқәа ирзынхоит.	Акула найдёт добычу гораздо быстрей, чем они. И тогда лоцманам достанутся остатки её трапезы.
Адоурҳан агәышԥы рӡсага ауқәа ирыбзоураны рацәак џьабаа мбаӡакәа аӡы иалҵәраауа иалоуп.	Длинные грудные плавники позволяют акуле парить в воде, не прилагая к этому почти никаких усилий.
Абар адоурҳан иаԥшааит аеллагадақәа ҳәыԥкны иахьыҟаз.	Вот акула нашла стаю эллагад.
Иманшәалахар, иаразнак акәхон, инахәлапҟа ицон, аха аеллагадақәа агьыласуп, иагьеилҟьақәоуп, ус имариам рыкра.	Будь возможность, она бы их мигом проглотила, но эллагады быстрые и проворные, их не так-то легко поймать.
Убри аҟнытә адоурҳан макьана ирызкылыԥшуеит.	Поэтому акула выжидает.
Иудыруеи, зымч каԥсаз ԥсыӡк аԥыхьашәар.Ичҳаны иԥшуп.	Есть шанс найти ослабленную рыбу, которую легче схватить. И охотница терпеливо ждёт.
Аокеан агәҭаны еилыхароу Изакәи ари1	Всплеск активности посреди океана. Что это?
Амшынҳәақәа. 500 –ҟа еицуп,	стая дельфинов численностью около 500 особей.
Урҭ афатә шааигәахаз рцәа ианырын, Иааихҵәаны идәықәлеит афатә иашьҭаланы.	Дельфины почувствовали близость добычи и спешат ей наперерез.
Ари ажәабжь бзиа аокеан инахыҵәеит, Даҽа гәыԥқәакгьы рҿаархеит.	Радостная новость уже распространилась по океану, и в погоню включились ещё несколько стай.
Дара зегьы Азортәи адгьылбжьахақәа рышҟа иӡсаны ицоит,	Все они плывут к Азорскому архипелагу,
Ари авулкан хылҵшьҭра змоу дгьылбжьахақәоуп, Португалиа аҿықә аҟынтә, зқьиа бжаки км ахьыбжьоу .	это острова вулканического происхождения в полутора тысячах километрах от побережья Португалии.
амшынҳәақәа ашьҭыбжьныҩгала раԥхьаҟа аӡы иацклаԥшуеит, ацәқәырԥақәа рхырхарҭа еилыркааразы.	Дельфины сканируют воду впереди себя с помощью эхолотов.
Шьҭа инеираны иахьыҟаз инеирц акгьы рыгым.	Вот они уже почти у цели.
Абар, изышьҭаз. Аокеан фаранџьқәа.	Это и есть цель. Океанические ставриды.
Амшынҳәақәа хаз-хазы аԥсыӡкра рцәуадаҩуп.	В одиночку дельфинутрудно поймать рыбу.
Баша рҽыдмырааԥсаразы, урҭ еицышәарыцоит.	Чтобы не расходовать энергию напрасно, они охотятся сообща.
%ьоукы аԥсыӡ аӡы ахыхьҟа ихацаланы, ҵаҟала ирыҵгәоит.	Они подгоняют стаю рыб вверх и прижимают её к поверхности воды.
Уа ирзыԥшуп егьырҭ аԥсыцәгьақәа. Агәыҵашкәакәа цҳаражәҳәаҩцәа.	А там её уже поджидают другие хищники. Белобрюхие буревестники.
Урҭ амшынҳәақәа афатә аӡы ахыхьҟа ианхарцало ҳәа иазыԥшуп.	Они ждут, пока дельфины подгонят добычу поближе к поверхности.
Абар, шьҭа, асыҭәҳәацҳаражәҳәаҩцәа аԥсыӡ иашьҭаланы аӡаҵаҟа ицоит.	И воттеперь уже буревестники ныряют за рыбой.
Урҭ 20 метра раҟара аӡаҵахь албаара рылшоит.	Они могут погружаться на глубину почти 20 метров.
Амшынҳәақәа аԥсыӡ шьҭахьҟа ирышьҭӡом, рымҩа ԥҵәаны.	А дельфины отрезают рыбам путь к отступлению.
Рызхара анырфа, амшынҳәақәа ахьааз ицоит.	Наевшись, дельфины уплывают.
Зыԥсы еиқәхаз афаранџьқәа аԥсаатә ахьзымнеиуа аӡаҵахь илбаауеит.	А уцелевшие ставриды погружаются на недосягаемую для птиц глубину.
Амра анынҭашәалак аокеан аҟны аиҭакра дуқәа мҩаԥысуеит.	После захода солнца в океане происходят большие перемены.
Аӡаҵаҟнытә ихало иалагоит апланктон,	Из глубин начинает подниматься планктон,
Ашәарыцара рҽазыҟарҵоит имлашьуа даҽа гәыԥк.	к охоте готовится ещё одна голодная армия.
Есуаха аӡаҵаҟатәи аԥсыӡқәа миллиардла аӡахыхьҟа ихалоит афатә иашьҭаланы.	Каждую ночь миллиарды глубоководных животных в поисках пищи поднимаются к поверхности океана.
Аԥра-ԥсыӡ сса 15 см роуп иҟоу.	Малёк рыбы-парусника длиной всего 15 сантиметров.
Уи иацԥыҳәаны афатә хәыҷ лбааздандаз ҳәа иаҿуп.	Он усердно заглатывает мелкую пищу.
Хышықәса рышьҭахь , 60 кьыла акапануа, аокеан аҿы зегьы еилазырӡызо шәарыцаҩны иааҟалоит.	А через 3 года он станет одним из самых грозных охотников в океане, и будет весить около 60 килограммов.
Уажәы иуашәшәыроуп.	сейчас он очень уязвим.
Манта захьӡу адоумбеи мшын ла.	Гигантский скат манта.
Арӡсагақәа анааиҵнахуа, аа-метрак инаӡоит.	В размахе плавников 8 метров,
Ҩ-тоннак акапануеит.	весом более двухтонн.
Атәыҩаԥшра змоу ахы рӡсагала афатә ишиашоу аҿахьы идәықәырҵоит.	Похожие на рога головные плавники направляют планктон прямо в рот.
Ицәылашо ианалагалак , апланктон еиҭа аӡаҵаҟа идәықәлоит.	А на рассвете планктон снова погружается в глубину.
Уи ҳашьҭаланы ҳцаразы аӡаҵаҟатәи аппарат ҳхы иаҳархәеит.	Чтобы отправиться вслед за ним мы воспользовались глубоководным аппаратом.
Алашьцарахь улбаацыԥхьаӡа ақәыяәяәара еиҳахоит, аӡгьы есааира ихьшәашәахоит.	По мере погружения в темноту давление растёт, а температура падает.
500 метрактәи аҵаулараҿы алашьцара иаалҵуеит уаҩы иимбац ԥстәқәак.	На глубине более 500 метров из темноты возникают невиданные существа.
Аформа џьашьахәқәа Иаакәыршаны иҟоу алашьцара Иалаӡыртә иҟанаҵоит.	Причудливые формы помогают им сливаться с окружающим мраком.
%ьоукы аӡяаррақәа ирҭоу аԥстәқәа угәаладыршәоит, Егьырҭ зеиԥшу ҳәашьа узаҭом.	Одни напоминают животных, обитающих на мелководье, а другие просто не поддаются описанию.
Зехьынџьара ашьшьыҳәа ҵаҟа икаҳауеит Аорганикатә ҟәырҷахақәак.	Повсюду вниз медленно падают органические частицы.
Ари амшын сы ҳәа изышьҭоу ауп – Аокеан ахыхь иҟаз ԥстәқәак рыбаҩ.	Это так называемый морской снег - останки существ, обитавших в верхних слоях океана.
