RU1	%
RU2	ПЛАНЕТА
RU3	ЗЕМЛя
RU4	Обширные
RU5	безлесные
RU6	равнины,
RU7	бескрайние
RU8	просторы,
RU9	звенящая
RU10	тишина.
RU11	Но
RU12	ощущение
RU13	пустоты
RU14	-
RU15	это
RU16	иллюзия.
RU17	Равнины
RU18	нашей
RU19	планеты
RU20	дают
RU21	пищу
RU22	самым
RU23	многочисленным
RU24	скоплениям
RU25	животных
RU26	на
RU27	земле.
RU28	Основой
RU29	жизни
RU30	на
RU31	равнинах
RU32	является
RU33	удивительная
RU34	жизненная
RU35	форма
RU36	растений
RU37	с
RU38	таким
RU39	простым
RU40	названием
RU41	'трава...
RU42	Травами,
RU43	злаками
RU44	и
RU45	разнотравьем
RU46	покрыта
RU47	четверть
RU48	всех
RU49	земель
RU50	в
RU51	мире.
RU52	ВЕЛИКИЕ
RU53	РАВНИНЫ
RU54	ведущий
RU55	ДЭВИД
RU56	АТТЕНБОРО
RU57	пастбища
RU58	существуют
RU59	везде,
RU60	где
RU61	дожди
RU62	выпадают
RU63	в
RU64	количестве,
RU65	недостаточном
RU66	для
RU67	роста
RU68	лесов.
RU69	Некоторые
RU70	луга
RU71	занимают
RU72	огромные
RU73	площади.
RU74	Протяжённость
RU75	одной
RU76	только
RU77	центрально-азиатской
RU78	степи
RU79	составляет
RU80	однутреть
RU81	окружности
RU82	земного
RU83	шара.
RU84	сейчас
RU85	лето,
RU86	и
RU87	орлы
RU88	беспрестанно
RU89	парят
RU90	в
RU91	восходящих
RU92	потоках,
RU93	высматривая
RU94	добычу
RU95	на
RU96	земле.
RU97	В
RU98	отдалённых
RU99	районах
RU100	Монголии
RU101	происходит
RU102	одна
RU103	из
RU104	самых
RU105	массовых
RU106	миграций
RU107	на
RU108	планете.
RU109	Мало
RU110	кто
RU111	видел
RU112	это
RU113	удивительное
RU114	ежегодное
RU115	явление.
RU116	Монгольские
RU117	антилопы
RU118	дзерен.
RU119	По
RU120	приблизительным
RU121	подсчётам
RU122	здесь
RU123	обитает
RU124	два
RU125	миллиона
RU126	особей.
RU127	А
RU128	точную
RU129	цифру
RU130	не
RU131	знает
RU132	никто.
RU133	Большую
RU134	часть
RU135	времени
RU136	дзерены
RU137	рассредоточены
RU138	по
RU139	этим
RU140	просторам,
RU141	но
RU142	раз
RU143	в
RU144	году,
RU145	в
RU146	сезон
RU147	размножения,
