AB1	1
AB2	АПЛАНЕТА
AB3	АДГЬЫЛ
AB4	2
AB5	адунеи
AB6	аҿы
AB7	иҟоу
AB8	ацәҳәыра
AB9	бааԥсқәа
AB10	3
AB11	араҟеиԥш
AB12	адунеи
AB13	аҿы
AB14	даҽаџьара
AB15	ашықәс
AB16	аамҭақәа
AB17	ас
AB18	лассы-лассы
AB19	4
AB20	рҽеиҭаркӡом.
AB21	5
AB22	Уи
AB23	иахҟьаны
AB24	есышықәса
AB25	асыԥсақәа
AB26	жәылоит
AB27	инаскьоит
AB28	6
AB29	Аполиусқәа
AB30	рҿы
AB31	иҟоу
AB32	аԥсҭазаара
AB33	абри
AB34	аамҭа
AB35	аиҭакра
AB36	иахьыԥшуп.
AB37	7
AB38	9
AB39	Раԥхьатәи
AB40	аныҟәаҩцәа
AB41	аполиус
AB42	рхы
AB43	ақәкны
AB44	ианцоз,
AB45	10
AB46	ирбеит
AB47	идырым
AB48	аҭыԥқәа
AB49	рышҟа
AB50	уназгоз
AB51	11
AB52	абарҭ
AB53	асыԥсатә
AB54	хан
AB55	дуқәа.
AB56	12
AB57	Арҭ
AB58	иҵааршәу
AB59	аргыларақәа
AB60	ираҩсны
AB61	ианцоз,
AB62	13
AB63	аныҟәаҩцәа
AB64	хәыцырҭас
AB65	ирыман,
AB66	14
AB67	ҳаԥхьаҟа
AB68	ԥсабаратә
AB69	џьашьахәыс
AB70	иаҳзыԥшузеишь
AB71	/
AB72	иаҳбарызеишь
AB73	ҳәа?
AB74	15
AB75	Аполиус
AB76	иазааигәахацыԥхьаӡа,
AB77	Асыԥса/анаҟәоу
AB78	есааира
AB79	иазҳауан,
AB80	16
AB81	Аха
AB82	аҵыхәтәан
AB83	раԥхьа
AB84	иаацәырҵыз
AB85	ари
AB86	адунеи
AB87	џьашьахәуи
AB88	дареи
AB89	реиԥылара
AB90	17
AB91	иазыҟазҵашаз
AB92	уаанӡа
AB93	изакәызаалак
AB94	акы
AB95	рымбеит./рымԥыхьамшәеит.
AB96	18
AB97	Терра
AB98	инкогнито
AB99	–
AB100	идырым
AB101	Адгьыл.
AB102	19
AB103	Ҳапланета
AB104	аладатәи
AB105	аполиус
AB106	аҿы
AB107	ишьҭоуп
AB108	аконтинет
AB109	Антарктида,
AB110	20
AB111	Уи
AB112	Иеиду
AB113	Аштатқәа
AB114	ирыҵаркуа
AB115	ахышәара-ҵышәара
AB116	аасҭа
AB117	иеиҳауп.
AB118	21
AB119	Ара
AB120	ишьҭоуп
AB121	ҳапланетаҿы
AB122	иҟоу
AB123	асыԥса
AB124	зегьы
AB125	аҟнытә
AB126	90%.
AB127	22
AB128	Асыԥса
AB129	дунеи
AB130	аҿы
AB131	ԥсҭазаара
AB132	ыҟамшәа
AB133	убоит
AB134	23
AB135	ааԥынра
AB136	ааиаанӡа.
AB137	24
AB138	Адель
AB139	ҳәа
AB140	изышьҭоу
AB141	апингвинқәа.
AB142	25
AB143	Иццакуеит.
AB144	26
AB145	Аамҭа
AB146	дәықәлеит.
AB147	27
AB148	Ааԥынтәи
AB149	асыӡыҭра
AB150	иазымԥшӡакәа
AB151	28
AB152	апингвинқәа
AB153	аладаҟа
AB154	иццакуеит
AB155	асыԥса/анаҟәоу
AB156	иҿанаҳәаз
AB157	амшын
AB158	иқәланы.
AB159	29
AB160	Урҭ
AB161	арахь
AB162	иаауеит
AB163	аҿиаразы,
AB164	30
AB165	аполиус
AB166	азааигәара
AB167	аԥхынра
AB168	убриаҟара
AB169	икьаҿуп,
AB170	31
AB171	асыӡыҭра
AB172	иалагаанӡа
AB173	рыҭрақәа
AB174	рҿы
AB175	анеира
AB176	иахьӡароуп.
AB177	32
AB178	Асыԥса/анҟәоуӡыҭра
AB179	ианалага,
AB180	аԥстәқәа
AB181	еиҳа-еиҳа
AB182	алада
AB183	инаскьалар
AB184	рылшоит,
AB185	33
AB186	Антарктика
AB187	аӡқәа
AB188	фатәыла
AB189	ибеиоуп,
AB190	34
AB191	Убри
AB192	аҟнытә
AB193	арахь
AB194	иеиханы
AB195	иаауеит
AB196	зеиуа
AB197	хкы
AB198	уҭаху
AB199	аԥстәқәа.
AB200	35
AB201	Хыԥхьаӡара
AB202	рацәала
AB203	антарктикатәи
AB204	апингвинқәа
AB205	рыкәтаӷьқәа
AB206	хырҵаразы
AB207	36
AB208	аҟәарахьы
AB209	иӡхыҵуеит.
AB210	37
AB211	Иарбанызаалак
AB212	ԥсаатәк
AB213	аҵааҿы
AB214	акәтаӷь
AB215	шьҭанаҵаӡом,
AB216	38
AB217	убри
AB218	аҟнытә
AB219	ацаҟьақәа
AB220	ара
