AB1	Апланета
AB2	адгьыл
AB3	паротиа,
AB4	Шәышықәса
AB5	раԥхьа
AB6	Адгьыл
AB7	иқәынхоз
AB8	ауааԥсыра
AB9	рхыԥхьаӡара
AB10	миллиардки
AB11	бжаки
AB12	рҟынӡа
AB13	инаӡон.
AB14	Иахьа
AB15	ари
AB16	адгьыл
AB17	уашәшәыра
AB18	иқәынхо
AB19	ҳхыԥхьаӡара
AB20	6
AB21	миллиардк
AB22	иреиҳауп.
AB23	Аха
AB24	убас
AB25	шакәугьы
AB26	Адгьыл
AB27	аҿы
AB28	иҟоуп
AB29	Уаҩы
AB30	ишьапы
AB31	ахьымнеиц
AB32	аҭыԥқәа.
AB33	Ари
AB34	асериаҿы
AB35	шәара
AB36	ижәбоит
AB37	кьыс
AB38	змамкәа
AB39	инханы
AB40	иҟоу,
AB41	ибнаку
AB42	аԥсабара.
AB43	Аполиус
AB44	аҟнытә
AB45	аполиус
AB46	аҟынӡа
AB47	Амҩаԥгаҩ
AB48	ДЕВИД
AB49	АТЕНБОРО
AB50	Шәазхәыц
AB51	мрада
AB52	иҟоу
AB53	адунеи
AB54	зеиԥшроу.
AB55	Аимператортә
AB56	пингвин
AB57	рбаӷьқәа
AB58	ахьынхогьы
AB59	абас
AB60	аӡын
AB61	бааԥсқәа
AB62	ахьыҟоу
AB63	Антарктикатәи
AB64	адунеи
AB65	аҿоуп.
AB66	Ара
AB67	есымша
AB68	хәлоуп,
AB69	Аҳауагьы
AB70	70
AB71	градус
AB72	рҟынӡа
AB73	илбаауеит.
AB74	Апингвинқәа
AB75	егьырҭ
AB76	аԥстәқәа
AB77	реиԥш
AB78	Аҵаа
AB79	иацәыбналаӡом.
AB80	Мал
AB81	дук
AB82	еиԥш
AB83	рыкәтаӷьқәа
AB84	рыхьчоит
AB85	ршьапқәа
AB86	ирықәҵаны.
AB87	Рытәӷәыбжьара
AB88	ибжьакны
AB89	идырԥхоит.
AB90	Ара
AB91	фатәгьы
AB92	ыҟам,
AB93	ӡгьы,
AB94	Апингвинқәа
AB95	амра
AB96	даҽа
AB97	ԥшьымыз
AB98	ирбараны
AB99	иҟаӡам.
AB100	Даҽа
AB101	ԥстәык
AB102	иахҭнагаӡом
AB103	ари
AB104	иахҭнаго.
AB105	Амра
AB106	Антарктика
AB107	ааныжьны
AB108	аҩадатәи
AB109	аполиус
AB110	аҟны
AB111	игылоит.
AB112	Уажәы
AB113	хәажкыроуп,
AB114	ԥшьымызтәи
AB115	ахәлара
AB116	аанкыланы,
AB117	Амра
AB118	Арктика
AB119	арлашеит.
AB120	Амшә
AB121	шкәакәа
AB122	шьҭа
AB123	ицәаӡам.
AB124	Уи
AB125	алӡынрак
AB126	аҭыҩра
AB127	иҭатәан,
AB128	Иара
AB129	ацәырҵра
AB130	ааԥынра
AB131	шааиз
AB132	атәы
AB133	аҳәоит.
AB134	Мызла
AB135	изҭатәаз
AB136	аҭыҩра
AB137	иааҭыҵны
AB138	Ахәы
AB139	иқәҳәазаны
AB140	аҿаанахоит,
AB141	ахәы
AB142	арыцқьаразакәу,
AB143	баша
AB144	ихәмаруоу,
AB145	издыруада...
AB146	Иаҵоу
AB147	амышәҳәарақәа
AB148	раԥхьаӡакәны
AB149	Адәы
AB150	инықәыԥшит,
AB151	амш
AB152	шара
AB153	рбеит.
AB154	Ран
AB155	рыԥхьоит,
AB156	аха
AB157	анаара
AB158	иахьаҿоу
AB159	раԥхьатәи
AB160	ашьаҿақәа
AB161	рыҟаҵара
AB162	уадаҩуп.
AB163	Амышәҳәарақәа
AB164	амла
AB165	иакуеит,
AB166	ран
AB167	ашҟа
AB168	иццакуеит.
AB169	Ари
AB170	амш
AB171	азы,
AB172	акрырҿамҵакәа
AB173	инкыланы
AB174	иаман,
AB175	Ҩымыз
AB176	раԥхьа
AB177	иҵааршәыроу
AB178	аҭыҩраҿы
AB179	иит,
AB180	илашәын,
AB181	идагәан,
AB182	уа
AB183	фатәыс
AB184	ирымазгьы
AB185	хшын.
AB186	Шьҭа
AB187	акрырҿанаҵарц
AB188	ирыԥхьеит.
AB189	Ран
AB190	ахаҭа
AB191	хәымыз
AB192	раахыс
AB193	акгьы
AB194	амфаӡац,
AB195	акапан
AB196	абжа
AB197	агхахьеит.
AB198	Шьҭа
AB199	иалоу
AB200	ашша
AB201	амышәҳәарақәа
AB202	ирҿанаҵо
AB203	ахш
AB204	ахь
AB205	ииасуеит
AB206	азы
AB207	ахш
AB208	жәпахоит.
AB209	Ааԥынтәи
AB210	амра
AB211	аԥхарра
AB212	аанагоит,
AB213	аха
AB214	амышә
AB215	азы
AB216	уи
AB217	ауадаҩрақәагьы
AB218	ацуп.
AB219	Ихҵааланы
AB220	иҟоу
AB221	амшын
AB222	ӡыҭуа
AB223	иалагоит,
AB224	Арахь
AB225	уоуп
AB226	амышәҳәарқәа
AB227	ирҿанаҵо
AB228	атиуленқәа
AB229	ахьҭоу.
AB230	Амшәҳәарқәа
AB231	ран
AB232	аҵааԥҽра
AB233	иалагаанӡа
AB234	уахь
AB235	анеира
AB236	иахьӡароуп.
AB237	Аха
AB238	макьана
AB239	аҳауа
AB240	30
AB241	градус
AB242	ихьшәашәароуп,
AB243	Амышәҳәарақәа
AB244	аҭыҩра
AB245	иҭатәазар
AB246	еиӷьуп.
AB247	Аҭыҩра
AB248	иҭыҵижьҭеи
AB249	6
AB250	мыш
AB251	ҵуеит,
AB252	ааԥынгьы
AB253	есааира
AB254	иццакуеит.
AB255	Аха
AB256	иара
AB257	уажәгьы
AB258	ргәырҽанӡамкәа
AB259	асыҭәҳәа
AB260	аацәырҵыр
AB261	алшоит.
AB262	Ари
AB263	ақәраҿы
AB264	амышәҳәархәыҷқәа
AB265	лассы
AB266	ахьҭа
AB267	рылалоит,
AB268	Аҭыҩраҿы
AB269	иҟазар
AB270	еиҳа
AB271	ирзеиӷьуп.
AB272	Аха
AB273	ран
AB274	адәахьы
AB275	идәылнагеит
AB276	Иашьцыларц
AB277	азы.
AB278	Иара
AB279	ахаҭа
AB280	акрымфадара
AB281	иахҟьаны
AB282	амчқәа
AB283	каԥсеит,
AB284	Ара
AB285	фатә
AB286	ыҟаӡам
AB287	азы.
AB288	Амшын
AB289	аҿы
AB290	аҵаа
AB291	макьаны
AB292	иӷәӷәоуп,
AB293	аха
AB294	уигьы
AB295	аамҭалоуп.
AB296	Ажәабатәи
AB297	амш
AB298	азы
AB299	амышәҳәарқәа
AB300	ран
AB301	аҭыҩра
AB302	ааныжьны
AB303	Километраки
AB304	бжаки
AB305	иаманы
AB306	ицеит.
AB307	Урҭ
AB308	шьҭа
AB309	рԥышәара
AB310	аамҭа
AB311	ааит.
AB312	Дара
AB313	рхы
AB314	иақәгәыӷуа
AB315	иҟалахьеит
AB316	азы
AB317	ирзеилкаауам
AB318	ан
AB319	зырхыццакуа.
AB320	Шьҭа
AB321	ран
AB322	амышәҳәарқәа
AB323	аныҟәара
AB324	рылшоит
AB325	ҳәа
AB326	аӡбеит,
AB327	Уи
AB328	агьаамҭоуп.
AB329	Аԥшаҳәаҟынтә
AB330	километрақәак
AB331	бжьоуп,
AB332	ара
AB333	аҵаа
AB334	аԥҽра
AB335	иалагеит.
AB336	Амышәарқәа
AB337	ран
AB338	атиуленқәа
AB339	ирышьҭалар
AB340	алшоит.,
AB341	аха
AB342	ари
AB343	амышәҳәарқәа
AB344	рзы
AB345	даара
AB346	ишәарҭоуп.
AB347	Аԥхьатәи
AB348	ашықәс
AB349	азы,
AB350	шамахамзар,
AB351	амышәҳәарқәа
AB352	рыбжа
AB353	Аҵааҿы
AB354	иҭахоит.
AB355	Аԥхын
AB356	уахынлагьы
AB357	ҽынлагьы
AB358	ишоуп.
AB359	Аҵаа
AB360	ҳәазо
AB361	иалагоит.
AB362	Аладаҟа,
AB363	арктикатәи
AB364	атундраҿы,
AB365	уарла-шәарла
AB366	акәымзар,
AB367	асы
AB368	цахьеит.
AB369	Канада
AB370	аҩадаҟа
AB371	инаскьагаӡаны
AB372	аԥсабараҿы
AB373	иааҟоу
AB374	арыцҳарақәа
AB375	руакы
AB376	мҩаԥысуеит.
AB377	Есышықәса
AB378	х-миллионк
AB379	рҟынӡа
AB380	Карибл
AB381	ҳәа
AB382	изышьҭоу
AB383	аҩадатәи
AB384	абынҽақәа
AB385	абнақәа
AB386	ааныжьны
AB387	арктикатәи
AB388	атундрахь
AB389	ицоит.
AB390	Арҭ
AB391	зегьы
AB392	хыҵны
AB393	ианцо
AB394	уамашәа
AB395	иубоит
AB396	хыхь,
AB397	аҳауахьтә
AB398	урзыԥшыр.
AB399	Џьоукы
AB400	аҳәырҭа
AB401	ҿыцқәа
AB402	ирышьҭаланы
AB403	шықәсык
AB404	абжьара
AB405	хышә
AB406	километра
AB407	инареиҳаны
AB408	иныҟәоит.
AB409	Ари
AB410	адунеи
AB411	аҿы
AB412	зегь
AB413	раасҭа
AB414	хара
AB415	ицо
AB416	ԥстәқәоуп.
AB417	Абынҽақәа
AB418	цоит
AB419	иаанымгылаӡакәа.
AB420	Ҿыц
AB421	ииз
AB422	абынҽақәа
AB423	ианииз
AB424	актәи
AB425	амш
AB426	инаркны
AB427	ршьапы
AB428	иагьықәгылоит.
AB429	Иҩуагьы
AB430	иалагоит.
AB431	Аха
AB432	ари
AB433	ашьамаҟатә
AB434	гәыԥ
AB435	дуқәа
AB436	рхала
AB437	ицаӡом.
AB438	Аполиартә
AB439	бгақәа.
AB440	8-10
AB441	раҟара
AB442	бга
AB443	рҽеидкыланы,
AB444	абынҽақәа
AB445	ирышьҭагыланы
AB446	рҿынархоит.
AB447	Урҭ
AB448	ҿыц
AB449	ииз
AB450	абынҽақәа
AB451	роуп
AB452	изышьҭоу.
AB453	Рҽеидкыланы
AB454	ирыжәлоит
AB455	–
AB456	ас
AB457	ашьамаҟа
AB458	еиҳа
AB459	ишәоит.
AB460	Еиԥхьытта,
AB461	еимпны
AB462	идәықәлоит,
AB463	шьҭа
AB464	абгақәа
AB465	урҭ
AB466	акакала
AB467	ирымԥахьашәар
