AB1	Аӡымшьақәа
AB2	Аӡымшьақәа,
AB3	ҳапланетаҿы
AB4	иааҟоу
AB5	аӡқәа
AB6	зегьы
AB7	рахьтә
AB8	х-процентк
AB9	роуп
AB10	иҟоу….
AB11	Аха
AB12	аӡымшьақәа
AB13	хәы
AB14	змам
AB15	рхыҵхырҭақәа
AB16	аҳамҭақәа
AB17	маҷымкәа
AB18	иҳадыргалоит.
AB19	Анс
AB20	акә,
AB21	арс
AB22	акәу,
AB23	иааидкыланы,
AB24	Адгьыл
AB25	аҿы
AB26	иҟоу
AB27	аԥсҭазаара
AB28	зегьы
AB29	аӡымшьоуп
AB30	изхьыԥшу.
AB31	Аӡымшьа
AB32	Амҩаԥгаҩ
AB33	ДЕВИД
AB34	АТТЕНБОРО
AB35	Маӡа
AB36	рацәа
AB37	зҵоу
AB38	Венесуелатәи.
AB39	Тепуи
AB40	Абас
AB41	иашьҭоуп
AB42	аџьунглиақәа
AB43	ирхагылоу
AB44	ашьха
AB45	хәҟьаҟьарақәа,
AB46	Абарҭ
AB47	ашьха
AB48	хәҟьаҟьарақәа
AB49	роуп
AB50	Артур
AB51	Конан-Доиль
AB52	ироман
AB53	«Ибжьаӡыз
AB54	адунеи»
AB55	аԥҵара
AB56	игәы
AB57	азыҳәо
AB58	дҟазҵаз,
AB59	аҩра
AB60	далазгалаз,.
AB61	Ари
AB62	ароман
AB63	аҭоурых
AB64	шьақәгылаанӡатәи
AB65	афантастикатә
AB66	дунеи
AB67	иазкуп.
AB68	Азқьышықәсақәа
AB69	раԥхьа,
AB70	зны
AB71	афырҭын
AB72	бааԥсқәеи
AB73	ақәаршықәеи
AB74	ирыхҟьаны
AB75	ишьақәгылеит
AB76	арҭ
AB77	ахәҟьаҟьарақәа
AB78	рҿы
AB79	ахаҳәтә
AB80	бааш
AB81	џьашьақәқәа.
AB82	Ацәаакыра
AB83	хылҩа-ԥсылҩаханы,
AB84	аокеан
AB85	иахыганы
AB86	адәқәа
AB87	рахь
AB88	иаманы
AB89	ицоит
AB90	аԥша,
AB91	Аҳауа
AB92	цәаакы
AB93	ашьхақәа
AB94	ианрыдҳала
AB95	ихьшәашәахоит,
AB96	иԥсҭҳәахоит,
AB97	қәаны
AB98	илеиуеит,
AB99	аӡымшьы
AB100	злыҵуагьы
AB101	иароуп.
AB102	Ара,
AB103	шамахамзар,
AB104	ес-ҽны
AB105	ақәа
AB106	леиуеит
AB107	кыдҵәаны.
AB108	Атропикатә
AB109	қәаршҩы.
AB110	Аӡымшьқәа
AB111	абрантә,
AB112	ашьха
AB113	ҳаракқәа
AB114	рҟынтә,
AB115	рҿынархоит
AB116	ныҟәара.
AB117	Аӡыҷҷақәа
AB118	еицыланы
AB119	арҩашны
AB120	идәықәлоит
AB121	100
AB122	км
AB123	ала
AB124	иныҟәаны,
AB125	амшын
AB126	ахь
AB127	рхы
AB128	рханы
AB129	Аӡхыҽҽа
AB130	Анхель.
AB131	Адунеи
AB132	аҿы
AB133	зегь
AB134	раасҭа
AB135	иҳараку
AB136	ӡхыҽҽоуп.
AB137	аӡы
AB138	аҽеибаркны,
AB139	хыхьынтә,,
AB140	километрак
AB141	аҟара
AB142	аҳаракырантә
AB143	илбааҽҽаны,
AB144	атышахь
AB145	илеиуеит
AB146	аӡылбааҽҽа
AB147	убри
AB148	аҟара
AB149	иҳаракуп,
AB150	аҩысҭаа
AB151	иеҩхаа
AB152	аҵаҟынӡа
AB153	изынаӡаӡом,
AB154	уа
AB155	инеиаанӡа
AB156	аӡы
AB157	.сабахоит
AB158	Ашьхақәа
AB159	рықәцәқәа
AB160	рыҟнытә
AB161	илбааҟьаны
AB162	илеиуа
AB163	аӡқәа
AB164	даҽакала
AB165	иаяьуп,
AB166	Урҭ
AB167	аӡы
AB168	ццакқәа
AB169	ианрыцла,
AB170	рымч
AB171	яәяәахоит
AB172	аҟнытә,
AB173	аԥынгылақәа
AB174	аԥырҵоит.
AB175	Ашьха
AB176	рҩашқәа
AB177	рҿы
AB178	аӡы
AB179	хьшәашәоуп,
AB180	хырҳага
AB181	фатәысҳәагьы
AB182	уамак
AB183	акгьы
AB184	рҭаӡам,
AB185	Аха
AB186	ҵәыҵәрила
AB187	ибеиоуп.
AB188	Ари
AB189	аӡяьыра
AB190	иҭоу,
AB191	зхыԥхьаӡара
AB192	маҷу
AB193	аԥстәқәа
AB194	аԥсҭазаара
AB195	иахьынҳалаҵәҟьоит.
AB196	Ашьха
AB197	ҳаракқәа
AB198	рырҩашқәа
AB199	рҿы
AB200	еиҳарак
AB201	абяа
AB202	змам
AB203	аԥстәқәа
AB204	роуп
AB205	иҭоу.
AB206	Урҭ
AB207	рхәамц
AB208	аазҟьаҟьаны,
AB209	аҽырххара,
AB210	ахьышьарххара
AB211	рцәуадаҩуп,
AB212	ргыгцәақәа
AB213	рыла
AB214	аӡы
AB215	аҵаҿы
AB216	рҽышьақәдырӡәӡәоит.
AB217	Ахәаҷақәа
AB218	ргәы
AB219	рҽануп
AB220	аҵәаҳәқәа
AB221	амҟьаргьы,
AB222	инызкыло
AB223	абызкаҭаҳа
AB224	амоуп.
AB225	Аӡяьырақәа
AB226	рҿы
AB227	аԥсҭазаара
AB228	еиҳа
AB229	ԥыжәара
AB230	зламоугьы
AB231	ыҟоуп.
AB232	Акалам
AB233	креветкақәа
AB234	ҭынч
AB235	аӡаҵаҿы
AB236	итәаны
AB237	аӡы
AB238	драӡоит
AB239	аҳаргь
AB240	ԥшра
AB241	змоу
AB242	ашьапқәа
AB243	рыла
AB244	Абжььаԥны,
AB245	ашьха
AB246	рҩашқәа
AB247	рыҟны
AB248	иҭоу
AB249	афатә
AB250	аԥстә
AB251	хәыҷқәа
AB252	рызхара
AB253	аҟароуп
AB254	Аха,
AB255	ара
AB256	Иапониа,
AB257	аӡаҵаҟа
AB258	аҭыҩрақәа
AB259	ирҭоу
AB260	џьашьахәқәак
AB261	ацәа
AB262	иалҵуеит.
AB263	Асаламндра
AB264	доумбеиқәа.
AB265	Адунеи
AB266	аҿы
AB267	адәыӡтәи
AB268	ԥстәқәа
AB269	зегьы
AB270	иреиҳау
AB271	ԥстәқәоуп.
AB272	Урҭ
AB273	ҩ-метрак
AB274	раҟара
AB275	инаӡоит
AB276	раура.
AB277	Ара,
AB278	аӡҵааршәырақәа
AB279	рҿы
AB280	гыгшәыг
AB281	дус
AB282	иҭоугьы,
AB283	дара
AB284	роуп.
AB285	Уахынлоуп
AB286	ианышәарыцо.
AB287	Арҭ
AB288	асаламандрақәа
AB289	рыҟны
AB290	амаҭәашьар
AB291	еиҭныԥсахлара
AB292	акыр
AB293	иадхалоит.
AB294	80
AB295	шықәса
AB296	рҟынӡа
AB297	рыԥсы
AB298	ҭоуп,
AB299	акырӡагьы
AB300	ирызҳауеит.
AB301	Ашьха
AB302	рҩашқәа
AB303	рыҟны
AB304	аԥсыӡ
AB305	маҷны
AB306	иҭоуп,
AB307	асаламандрақәагьы
AB308	рыла
AB309	уамак
AB310	иабаӡом,
AB311	аха
AB312	ацәа
AB313	иамоу
AB314	акынҵыҵырақәа
AB315	рнырралшара
AB316	бзиоуп
AB317	аҟнытә
AB318	арбанзаалак
AB319	аӡы
AB320	ақәыяәяәараҿы
AB321	иҟало
AB322	аиҭакрақәа
AB323	иаразнак
AB324	игәанаҭоит.
AB325	Арҭ
AB326	адоубеиқәа
AB327	ирԥырхагахо
AB328	акы
AB329	аныҟам,
AB330	ирԥыхьашәаз
AB331	рхала
AB332	ирфар
AB333	еияьаршьоит.
AB334	Асаламандрақәа
AB335	ԥыхьашәа
AB336	дукгьы
AB337	роулаӡом,
AB338	аха
AB339	есышықәса,
AB340	ашьха
AB341	рҩашқәак
AB342	миллионла
AB343	аԥсыӡ
AB344	рҭаауеит.
AB345	Ари
AB346	млагәырқәоуп.
AB347	Апланета
AB348	аҿы
AB349	зегь
AB350	раасҭа
AB351	аӡымшьԥсыӡ
AB352	хыҵны
AB353	ианаауа
AB354	.
AB355	Аҩадатәи
AB356	адгьылбжьара
AB357	иатәу
AB358	амлагәырқәа
AB359	аокеанқәа
AB360	рыҟнытә
AB361	Изышьцылоу
AB362	рыҿиарҭа
AB363	ҭыԥқәа
AB364	рышҟа
AB365	ихынҳәны,
AB366	100
AB367	километрала,
AB368	иӡсаны,
AB369	аӡы
AB370	ахырхарҭа
AB371	иаҿагыланы
AB372	иаауеит.
AB373	Ашьха
AB374	рҩашқәа
AB375	рыҟны
AB376	аԥсыӡ
AB377	кәтаяьқәеи
AB378	аԥсыӡ
AB379	ссақәеи
AB380	зфаша
AB381	агыгшәыг
AB382	маҷуп,
AB383	Аха
AB384	иҟоуп
AB385	амшә
AB386	гризли
AB387	,
AB388	Иҟанаҵои,
AB389	ма
AB390	инхароуп,
AB391	ма
AB392	иԥсыроуп.
AB393	Канадатәи
AB394	амшә
AB395	гризли
AB396	егьырҭ
AB397	излареиԥшымкәа
AB398	иҟоу,
AB399	аԥсыӡ
AB400	иашьҭаланы
AB401	аӡааҟәрылашьа
AB402	аҵеит.
AB403	Аха
AB404	аӡаҵан
AB405	амлагәыр
AB406	акра
AB407	ус
AB408	имариам
AB409	Амшәҳәарқәа
AB410	макьана
AB411	ирзымдыруа
AB412	рацәоуп.
AB413	Есышықәса,
AB414	арҭ
AB415	амлагәырқәа
AB416	аҿиаразы
AB417	иахьаауа
AB418	аҭыԥ
AB419	ахь
AB420	иааргоит
AB421	ҵҩа
AB422	змам
AB423	афатә.
AB424	Урҭ
AB425	даҽазны
AB426	ари
AB427	аҟара
AB428	ԥстәы
AB429	акрырҿаҵара
AB430	рылшаӡом
AB431	.
AB432	Арҩашқәа
AB433	рыҟны
AB434	азныказы
AB435	ԥсҭазаара
AB436	ыҟамшәа
AB437	шубогьы
AB438	аԥсабара
AB439	ашьақәыргылара
AB440	рылшоит,
AB441	аӡиасқәа
AB442	рзы
AB443	аҵак
AB444	дуӡӡагьы
