language	method	confidence	file
Abkhazian	content-text	high	1. Agyndia_S_Izbrannoe_2014.pdf
Abkhazian	content-text	high	10. Ankvab_V_Sobranie_sochineny_II_2011.pdf
Abkhazian	content-text	high	102. Chitanaa_V_Izbrannoe_2017.pdf
Abkhazian	content-text	high	104. Dzhopua_R_Sochineniya_v_III_tomakh_I_2010_abh.pdf
Abkhazian	content-text	high	105. Dzhopua_R_Sochineniya_v_III_tomakh_II_2011_abh.pdf
Abkhazian	content-text	high	106. Dzhopua_R_Sochineniya_v_III_tomakh_III_2012_abh.pdf
Abkhazian	content-text	high	107. Djonua_A_Proizvedenia_tom_1.pdf
Abkhazian	content-text	high	108. Djonua_A_Proizvedenia_tom_2.pdf
Abkhazian	content-text	high	11.Ankvab_V_Sobranie_sochineny_III_2014_abh.pdf
Abkhazian	content-text	high	110. Dzhindzholiya_N_Pesnya_lyubvi_2016_abh.pdf
Abkhazian	content-text	high	12. abkhazou_v_rodnik.pdf
Abkhazian	content-text	high	13. abkhazou_v_gorit_ochag_2015_abh.pdf
Abkhazian	content-text	high	14. Abkhazou_V_Chto_sudboy_mne_sudilos_2018_abh.pdf
Abkhazian	content-text	high	17. Khashba_I_Sobranie_I_2013_abh.pdf
Abkhazian	content-text	high	18. Khashba_I_Sobranie_II_2016_abh.pdf
Abkhazian	content-text	high	19. adjba_t_ialkaau.pdf
Abkhazian	content-text	high	20. Bartsyts_B_Sobranie_I_2015_abh.pdf
Abkhazian	content-text	high	24. Butba_Z_Prikljuchenja_Chagu_Chatsby.pdf
Abkhazian	content-text	high	25. Bebia_P_Gvozd_v_serdtse_2018_abh.pdf
Abkhazian	content-text	high	28. Butba_D_Zhemchuzhnoe_koltso_2016_abh.pdf
Abkhazian	content-text	high	29. Butba_D_Zatmenie_solntsa_2018_abh.pdf
Abkhazian	content-text	high	30.1 Butba_Z_Sochineniya_II_2013.pdf
Abkhazian	content-text	high	31. Butba_Z_Prikljuchenja_Chagu_Chatsby.pdf
Abkhazian	content-text	high	33. Gabeliya_D_Putem_volny_2014_abh.pdf
