Моя история	Сара сҭоурых
Я абхаз	Сара саԥсыуоуп.
Зовут меня инал	Инал сыхьӡуп.
Фамилия моя маршан	С-маршьануп.
Фамилия моя маршан	Маршьан сыжәлоуп.
Живу в абхазии в г. сухум	Аԥсны сынхоит, аҟәа ақалақь аҟны.
Моя семья: мать, отец, бабушка, дедеушка, брат и сестра живут здесь	Сҭаацәа ара иҟоуп: сан, саб, санду, сабду, сашьа, саҳәшьа.
Я изучаю абхазский язык и русский язык	Сара аԥсуа бызшәеи аурыс бызшәеи аҵара саҿуп.
Знакомьтесь, это мой брат саид	Шәеибадыруаз, ари сашьа саид иоуп.
Саид тоже изучает абхазский язык	Саидгьы аԥсшәа аҵара даҿуп.
Это моя сестра	Ари саҳәшьа лоуп.
Зовут ее сандра	Сандра лыхьӡуп.
Она учится в школе	Ашкол дҭоуп.
Моего отца зовут хаджмаф	Саб ҳаџьмаф ихьӡуп.
Он инженер	Дынџьныруп.
Моя мама гечба	Сан д-гьечԥҳауп.
Она преподаватель	Дырҵаҩуп.
Сейчас она дома, она не работает	Уажәы лара аҩны дыҟоуп, аус луӡом.
Во время завтрака	Шьыжьхьаан
Утром я ем кашу, пью чай или молоко, а еще я ем хлеб с маслом	Сара ашьыжь ақашь сфоит, ачаи ма ахш зжәуеит, насгьы ача ахәша ахьшьны исфоит.
Моя сестра любит мед, а также яйцо вареное, сыр	Саҳәшьа ацха бзиа илбоит иара убас акәтаӷь жәны, ашә.
Мой младший брат не любит завтракать и поэтому ест в школе	Сашьеиҵбы ашьыжь акрыфара бзиа ибаӡом азы ашкол аҿы акрифоит.
Так как он не любит мед, не любит сливочное масло, пьет чай, ест колбасу с хлебом, пьет какао	Иара ацха бзиа ибаӡом, ахәшагьы бзиа ибаӡом азы ачаи ижәуеит, аҭоубари ачеи ифоит, акакао ижәуеит.
Моя мама говорит мне, что если я не буду хорошо есть я не вырасту большим	Сан ибзианы акрумфар, иузҳаӡом, лҳәоит.
Он ростом не маленький, но худенький	Иара дкьаҿӡам, аха игуп.
Так как у старшей сестры хороший аппетит она встает рано и завтракает	Саҳәшьеиҳабы акрыфара бзиа илбоит азы ашьыжь заа дгыланы акрылфоит.
Мама не желает, чтобы она переедала, говорит, что она сильно пополнела	Уи сан акрылфацәар лҭахӡам, ибыцлацәеит ҳәа лалҳәоит.
А девушка должна быть стройной, худенькой, считает мама	Аҭыԥҳа деиҿкаазароуп, деинаалан дыҟазароуп ҳәа илыԥхьаӡоит.
Я приехал из москвы	Сара москватәи сааит
Я родился 3 июля 1990 года в москве	Сара ԥхынгәы мза 3, 1990 шықәсазы москва сиит.
Я родился 3 июля 1990 года в москве	Сара ԥхынгәы мза 3, зқьи жәшәи ԥшьынҩажәи жәаба шықәсазы москва сиит.
Как и другие дети, я ходил в детский сад	Егьырҭ ахәыҷқәа реиԥш, саргьы ахәыҷбаҳчахь сныҟәон.
В 7 лет я пошел в школу	Быжьшықәса анысхыҵуаз ашкол сҭалеит.
Я очень гордился тем, что стал школьником	Даара сеигәырӷьон ашкол сахьҭалаз.
Моя школа находилась рядом с моим домом	Сышкол ҳаҩны иазааигәаны иҟан.
Многие ученики нашей начальной школы были моими соседями	Аиҵбыратәи ашкол иҭаз ахәыҷқәа аӡәырҩы сгәылара инхон.
По утрам мы вместе шли в школу	Шыжьла урҭ сареи ҳаицны ашкол ахь ҳцоит.
Но очень скоро я понял, что это не игра, и я должен очень стараться, если хочу, чтобы мои родители были довольны мной	Аха нас, хара имгакәа иеилыскааит, ари шыхәмаррамыз, сҭаацәа сыргәырӷьларац азы ирацәаны аԥхьара шаҭахыз.
Школьные годы прошли очень быстро, и теперь я понимаю, что иногда это у меня получалось, но было когда и не получалось	Ашкол аҿы аҵара ашықәсқәа даара лассы имҩасит, шьҭа иеилыскаауеит, аҵара зны-зынла ишсылшоз, аха иансылымшозгьы шыҟаз.
В москве у меня было много друзей, но они все говорили по-русски	Сара аҩызцәа рацәаны исыман москва, аха урҭ зегьы урысшәалоуп ишцәажәоз.
Когда мы переехали в абхазию, у меня появились новые друзья	Арахь, аԥсныҟа ҳанааи, аҩызцәа ҿыцқәа шьҭысхит.
Они говорили по-абхазски	Дара аԥсшәа рҳәон.
Когда они разговаривали друг с другом,так как я не понимал того, что они говорили, я начал изучать абхазский язык	Аԥсышәала ианеицәажәоз ирҳәоз саҳаӡомызт азы саргьы аԥсшәа аҵара салагеит.
Я заметил, что это сблизило нас еще больше	Ари сҩызцәеи сареи еиҳа ҳшеизааигәанатәыз збеит
Я думаю, что я похож на моего отца, т.к. он тоже очень общительный	Сара саб сиеиԥшуп ҳәа сгәы иаанагоит, избанзар сабгьы иҩызцәа бзиа ибоит.
Они любят приглашать в гости наших друзей и соседей	Сара сҭаацәа ҳҩызцәеи ҳгәылацәеи рааԥхьара бзиа ирбоит.
Я люблю когда у нас гости	Бзиа избоит сара асасцәа анаҳҭоу
Тогда и у мамы хорошее настроение, мы, помогая друг другу, готовим еду	Усҟан сангьы даара лгәалаҟазаара бзиоуп, зегьы ҳаицхырааны афатә ҳархиоит.
Наши гости говорят, что мама вкусно готовит	Ҳасасцәа сан афатә хааны иҟалҵоит рҳәоит.
Моя сестра многому учится у мамы	Саҳәшьа сан илҿылҵаауа рацәоуп
К примеру, вкусно готовит салаты, красиво накрывает на стол	Иаҳҳәап, шьҭа саҳәшьа ибзианы асалаҭқәа ҟалҵоит, аишәа ԥшӡаны илырхиот
Мне больше всего нравится, когда она печет торт	Сара зегь реиҳа бзиа избоит аторт аныҟалҵо
Это любят в нашей семье	Уи ҳҭаацәа зегьы бзиа ирбоит.
Помню, как я закончил школу	Исгәалашәоит, ашкол саналгаз.
Окончил с хорошими оценками	Ахәшьара бзиақәа сыманы салгеит.
Это событие родителями было воспринято как настоящий праздник	Ари ахҭыс сҭаацәа зегьы рзы ныҳәак иаҩызан.
Все преподнесли мне подарки	Зегьы ҳамҭакҳамҭак сырҭеит
Папа купил мне планшет	Саб апланшет сзааихәеит.
Мама купила мне синюю рубашку	Сан акьаҿ иаҵәа сзаалхәеит
Мне нравится синий цвет	Сара аиаҵәа ԥшшәы даара бзиа избоит.
Тогда сестра испекла мне любимый торт	Убасҟан саҳәшьагьы бзиа избоз аторт сзылӡит.
Мое хобби	Сара бзиа избо
Все люди имеют любимое дело – хобби	Ауаа зегьы акака бзиа ирбоит.
Каждый выбирает хобби согласно его характеру и вкусу	Ауаҩы бзиа иибо иара иҟазшьеи игьамеи ирықәшәоит.
Некоторые люди любят музыку	Џьоукы амузыка бзиа ирбоит.
Другие любят читать	Егьырҭ аԥхьара бзиара ирбоит.
Некоторые люди любят пеший туризм,	Иҟоуп аныҟәарақәа, атуризм бзиа избо.
Иные любят готовить или шить	Даҽа џьоукы афатәҟаҵара ма аӡахра бзиа ирбоит.
Многие предпочитают фотографировать или коллекционировать	Ирацәаҩуп афотосахьақәа рҭыхра ма реизгара бзиа избогьы.
Вообще говоря, хобби – вопрос вкуса	Ажәакала, ауаа бзиа ирбо дасу ргьама иақәшәоит.
Мое хобби – играть в компьютерные игры	Сара бзиа избоит акомпиутер аҟны ахәмарра.
И взрослые и дети любят это теперь	Уи уажәы адуқәагьы ахәыҷқәагьы бзиа ирбоит.
Это стало одним из самых популярных хобби в настоящее время	Иахьа акомпиутер аҿы ахәмарра бзиа избо еиҳа ирацәахеит.
Так как это очень интересно	Избанзар, уи даара интересуп.
Они расширяют и развивают наше воображение	Урҭ ахәмаррақәа ауаҩы ихшыҩ дырҵаруеит, илаԥшҳәаа дырҭбаауеит.
Некоторые из моих друзей имеют то же самое хобби, и мы часто играем вместе	Сара сҩызцәақәакгьы акомпиутер аҟны ахәмарра бзиа ирбоит азы лассы-ласс ҳаицыхәмарлоит.
Батал учится в абхазской школе	Баҭал аԥсны ашкол дҭоуп
Батал со своей семьей жил в турции	Баҭал иҭаацәагьы иаргьы ҭырқәтәыла инхон.
В этом году они переехали в абхазию	Сынтәа урҭ аԥсныҟа нхара ииасит.
Сейчас он учится в сухумской 1 средней школе, он в 5 классе	Уажәы иара аҟәатәи 1-тәи абжьаратә школ дҭоуп, уи шьҭа 5-тәи акласс аҿы дтәоуп.
И так он в 5 классе	Уи шьҭа ахәбатәи акласс аҿы дтәоуп.
Он каждое утро встает в 8 ч.	Иара есышьыжь асааҭ ааба рзы дгылоит.
Умывается, чистит зубы, делает зарядку, заправляет постель, одевается и завтракает	Иҿиинапи иӡәӡәоит, ихаԥыцқәа ирыцқьоит, аҭаалым ҟаиҵоит, ииарҭа ҟаиҵоит, иҽеилеиҳәоит, нас акрифоит.
В 8.30. он выходит из дома, идет в школу	Асааҭ жәба рыбжазы аҩны ддәылҵуеит, ашкол ахь дцоит.
В 8.30. он выходит из дома, идет в школу	Асааҭ 8.30. аҩны ддәылҵуеит, ашкол ахь дцоит.
В школе уроки начинаются в 9.00. часов	Ашкол аҿы асааҭ 9 рзы аҵара иалагоит.
Уроки заканчиваются в два часа	Аҵара далгоит асааҭ ҩба рзы.
Домой он добирается сам	Нас ихала аҩныҟа дцоит.
Он уже хорошо знает сухум	Шьҭа иара аҟәа бзианы идыруеит.
Дома он обедает и отдыхает	Шьыбжьон, аҩны акрифоит, иԥсы ишьоит.
Затем, в 4 часа отправляется в музыкальную школу	Нас асааҭ 4 рзы ихала амузыкатә школ ахь дцоит.
Он занимается по классу фортепиано	Уи афортепиано акласс аҿы аҵара иҵоит.
Там в третьем классе	Уа ахԥатәи акласс аҿы дтәоуп.
В музыкальной школе занятия заканчиваются в 5 часов	Амузыкатә школ аҟны иҵара далгоит асааҭ 5 рзы.
Затем он звонит отцу	Нас иаб иахь аҭел дасуеит.
Отец приезжает за ним на машине и забирает домой	Иаб днеины машьынала аҩныҟа дааигоит.
Мои обязанности по дому	Сара аҩны исыду.
Мои обязанности по дому	Сара аҩны снапы иану.
В этом году я заканчиваю школу и усердно читаю, чтобы сдать успешно выпускные экзамены	Сара сынтәа ашкол салгоит, аԥышәарақәа бзианы исҭиирц азы ирацәаны саԥхьоит.
Так как сейчас я очень занята, не могу много помогать родителям по дому	Уажәы сеилахоуп азы аҩны ирацәаны сҭаацәа сызрыцхрааӡом.
Однако, у меня все-таки есть определенные домашние обязанности	Убас шакәугьы, сара аҩны исыду аусқәа ыҟоуп.
Каждый день я убираю свою комнату и постель, мою посуду, протираю мебель от пыли	Есҽны суада, сиарҭа еилсыргоит, асаанқәа сыӡәӡәоит, асаба срыцқьоит.
После обеда хожу в булочную за хлебом	Шьыбжьышьҭахь ачаҭирҭахь ачаахәара сцоит.
Ача шкәакәеи ачеиқәаҵәеи, нас ачарӡ хаа, ахаа-мыхаақәа аасхәоит	Покупаҩ немного черного и белого хлеба, печенье и пирожные.
Магазин находится недалеко от нашего дома, и у меня уходит мало времени на ежедневные покупки	Адәқьан ҳаҩны иазааигәаны иҟоуп аҟнытә есҽны ачаахәара аамҭа рацәаны исцәагаӡом.
Раз в неделю я помогаю маме выполнять работу по дому	Мчыбжьык ахьтә знык сан аҩнусқәа рыҟны слыцхраауеит.
Мы стираем белье, гладим, убираем в квартире	Амаҭәа ҳаӡәӡәоит, ҳуанҭоит, аҩны иеилҳаргоит.
Мы выбиваем ковры от пыли, пылесосим пол	Ауарҳалқәа асаба рылаҳхуеит, адашьма ҳрыцқьоит асабарыцқьага ала.
Не трудно содержать квартиру в порядке, если ты убираешь систематически	Иааиԥмырҟьаӡакәа аҩны еилургозар, иуцәеилаҳаӡом.
Это обычный круг моих обязанностей	Абри ауп сара есқьынгьы исыду.
Но иногда мне надо делать другую работу	Аха зны-зынла даҽа ускгьы аныҟасҵо ыҟоуп.
Например, когда мама больна или ее нет дома, я готовлю еду и мою посуду, покупаю продукты.	Иаҳҳәап, сан данычмазаҩу ма аҩны даныҟам, афатә ҟасҵоит, асаанқәа сыӡәӡәоит, афатә аасхәоит.
Я не очень хорошо готовлю, но говорят, что мой суп всегда вкусный	Афатә бзианы исзыҟаҵаӡом, аха ссуԥ хаауп рҳәоит есқьынгьы.
Я могу также сварить яйцо и пожарить немного мяса, накрыть на стол и убрать посуду	Нас, акәтаӷь зжәыр сылшоит, акәац зӡуеит, аишәа сырхиоит, асаанқәа ықәызгоит.
Если я слишком занята, то я не могу все это делать сама, и все обязанности распределяются между членами нашей семьи	Сара санеилахоу, ари зегьы сымацара сахьӡаӡом азы аҭаацәа зегьы акака ҟарҵоит.
Иногда мне нужно сходить в парикмахерскую, мастерскую по ремонту обуви, в швейную мастерскую	Зны-зынла ахцәыҟаҵарҭахь, ашьаҵаҟаҵарҭахь, ма аӡахырҭахь сцалоит.
В парикмахерской я подстригаюсь или завиваю волосы	Ахцәыҟаҵарҭаҟны ма сыхцәы ԥысҟоит ма исырҳәуеит.
В обувной мастерской чиню туфли и ботинки, когда стираются каблуки	Ашьаҵаҟаҵарҭаҿы сеимаақәеи смагәқәеи рышьхәақәа аныбжьыслак, иҟасҵоит.
Обслуживание в общем хорошее, но в некоторых случаях оно оставляет желать лучшего	Ашьхәақәа цәгьамкәа иҟарҵоит, аха зны-зынла иҵегьы иеиӷьзар ҟалон.
И у моего брата свои обязанности по дому	Сашьагьы аҩны аҟаҵатәы имоуп.
Он может установить или починить например, он чинит электроприборы, когда они в неисправности	Уи афымцамаҭәахәқәа рышьақәыргылара ма ианыбжьыслак рыҟаҵара илшоит.
Он уже починил мамин утюг, мою настольную лампу	Иара иоуп ҳан луанҭа, ҳлампа ҟазҵаз.
В прошлом году я была у бабушки и дедушки	Ҵыԥх сандуи сабду рыҟны сыҟан.
Они пожилые люди и нуждаются в заботе и внимании	Дара шьҭа ибыргцәоуп, ацхыраара, ахылаԥшра рҭахуп.
Во время своего пребывания там я подметала и мыла полы, кормила цыплят, собирала яйца, пропалывала грядки	Уа саныҟаз адашьма сыԥссон, исыӡәӡон, акәҷарақәа акрырҿасҵон, акәтаӷьқәа еизызгон, сбаҳауан.
Я не знаю, как доить корову, но я помогала кормить ягнят, телят, овец, поросят	Ажә шырхьо сыздырӡом, аха асар, аҳәарақәа, ауасақәа, ашьарақәа акрырҿасҵон.
мне очень понравилась эта работа	Ари сара даара исгәаԥхеит.
Рассказ о себе	Ахы ахцәажәара
О себе говорить немного трудно	Ахы ахцәажәара ма3к иуадаҩуп.
Потому что изучить человека не так уж просто, особенно трудно себя самого	Избанзар ауаҩы иеилкаара ус имариаӡам, еиҳагьы ицәгьоуп уара ухы уанахцәажәо.
Это не легко, но человеку приятно рассказывать о себе	Уи мариаӡам, аха ауаҩы ихы данахцәажәо бзиа ибоит.
